
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 1 

2022-01-30 00:34:01.901152: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-01-30 00:34:06.657055: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:89:00.0, compute capability: 7.0
Rewards Tr: 105.19, Rewards Val: 92.44, Rewards Disc: 0.57, Rewards Eval: 122.93, Total Timesteps: 3060000 episode:152 

Rewards Tr: 107.70, Rewards Val: 85.57, Rewards Disc: 0.58, Rewards Eval: 84.53, Total Timesteps: 3080000 episode:153 

Rewards Tr: 104.31, Rewards Val: 103.01, Rewards Disc: 0.50, Rewards Eval: 131.50, Total Timesteps: 3100000 episode:154 

Rewards Tr: 99.45, Rewards Val: 88.64, Rewards Disc: 0.39, Rewards Eval: 103.82, Total Timesteps: 3120000 episode:155 

Rewards Tr: 96.20, Rewards Val: 84.19, Rewards Disc: 0.39, Rewards Eval: 117.77, Total Timesteps: 3140000 episode:156 

Rewards Tr: 106.36, Rewards Val: 91.79, Rewards Disc: 0.42, Rewards Eval: 128.01, Total Timesteps: 3160000 episode:157 

Rewards Tr: 108.67, Rewards Val: 89.27, Rewards Disc: 0.56, Rewards Eval: 97.70, Total Timesteps: 3180000 episode:158 

Rewards Tr: 104.90, Rewards Val: 70.79, Rewards Disc: 0.48, Rewards Eval: 91.23, Total Timesteps: 3200000 episode:159 

Rewards Tr: 123.19, Rewards Val: 93.05, Rewards Disc: 0.44, Rewards Eval: 93.40, Total Timesteps: 3220000 episode:160 

Rewards Tr: 109.75, Rewards Val: 92.75, Rewards Disc: 0.51, Rewards Eval: 94.48, Total Timesteps: 3240000 episode:161 

Rewards Tr: 112.52, Rewards Val: 112.89, Rewards Disc: 0.44, Rewards Eval: 81.41, Total Timesteps: 3260000 episode:162 

Rewards Tr: 113.15, Rewards Val: 74.24, Rewards Disc: 0.54, Rewards Eval: 99.32, Total Timesteps: 3280000 episode:163 

Rewards Tr: 108.54, Rewards Val: 61.94, Rewards Disc: 0.57, Rewards Eval: 110.07, Total Timesteps: 3300000 episode:164 

Rewards Tr: 103.86, Rewards Val: 90.90, Rewards Disc: 0.53, Rewards Eval: 102.60, Total Timesteps: 3320000 episode:165 

Rewards Tr: 118.27, Rewards Val: 99.18, Rewards Disc: 0.54, Rewards Eval: 78.75, Total Timesteps: 3340000 episode:166 

Rewards Tr: 110.72, Rewards Val: 82.17, Rewards Disc: 0.57, Rewards Eval: 133.95, Total Timesteps: 3360000 episode:167 

Rewards Tr: 110.03, Rewards Val: 97.36, Rewards Disc: 0.55, Rewards Eval: 79.79, Total Timesteps: 3380000 episode:168 

Rewards Tr: 108.46, Rewards Val: 89.84, Rewards Disc: 0.51, Rewards Eval: 140.97, Total Timesteps: 3400000 episode:169 

Rewards Tr: 114.75, Rewards Val: 84.97, Rewards Disc: 0.58, Rewards Eval: 118.41, Total Timesteps: 3420000 episode:170 

Rewards Tr: 99.22, Rewards Val: 108.51, Rewards Disc: 0.56, Rewards Eval: 114.95, Total Timesteps: 3440000 episode:171 

Rewards Tr: 104.44, Rewards Val: 69.90, Rewards Disc: 0.58, Rewards Eval: 109.31, Total Timesteps: 3460000 episode:172 

