For Seed: 1 

2022-02-01 15:43:33.463730: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-01 15:43:37.156946: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-PCIE-32GB, pci bus id: 0000:86:00.0, compute capability: 7.0
Rewards Agent: -26.21, Rewards Eval: -1.23, Total Timesteps: 10000 episode:0 
Rewards Agent: 1588.41, Rewards Eval: 1639.88, Total Timesteps: 1750000 episode:174 

Rewards Agent: 1566.02, Rewards Eval: 1605.32, Total Timesteps: 1760000 episode:175 

Rewards Agent: 1607.62, Rewards Eval: 1408.26, Total Timesteps: 1770000 episode:176 

Rewards Agent: 1624.58, Rewards Eval: 1587.80, Total Timesteps: 1780000 episode:177 

Rewards Agent: 1593.61, Rewards Eval: 1633.97, Total Timesteps: 1790000 episode:178 

Rewards Agent: 1585.90, Rewards Eval: 1584.69, Total Timesteps: 1800000 episode:179 

Rewards Agent: 1648.73, Rewards Eval: 1593.17, Total Timesteps: 1810000 episode:180 

Rewards Agent: 1633.86, Rewards Eval: 1656.41, Total Timesteps: 1820000 episode:181 

Rewards Agent: 1643.72, Rewards Eval: 1436.65, Total Timesteps: 1830000 episode:182 

Rewards Agent: 1615.90, Rewards Eval: 1629.47, Total Timesteps: 1840000 episode:183 

Rewards Agent: 1641.49, Rewards Eval: 1526.12, Total Timesteps: 1850000 episode:184 

Rewards Agent: 1624.97, Rewards Eval: 1493.76, Total Timesteps: 1860000 episode:185 

Rewards Agent: 1651.08, Rewards Eval: 1717.34, Total Timesteps: 1870000 episode:186 

Rewards Agent: 1633.88, Rewards Eval: 1578.40, Total Timesteps: 1880000 episode:187 

Rewards Agent: 1639.87, Rewards Eval: 1544.10, Total Timesteps: 1890000 episode:188 

Rewards Agent: 1640.32, Rewards Eval: 1567.86, Total Timesteps: 1900000 episode:189 

Rewards Agent: 1675.35, Rewards Eval: 1657.40, Total Timesteps: 1910000 episode:190 

Rewards Agent: 1662.69, Rewards Eval: 1687.21, Total Timesteps: 1920000 episode:191 

Rewards Agent: 1612.81, Rewards Eval: 1678.48, Total Timesteps: 1930000 episode:192 

Rewards Agent: 1667.08, Rewards Eval: 1650.33, Total Timesteps: 1940000 episode:193 

Rewards Agent: 1657.44, Rewards Eval: 1687.99, Total Timesteps: 1950000 episode:194 

Rewards Agent: 1655.48, Rewards Eval: 1593.32, Total Timesteps: 1960000 episode:195 

Rewards Agent: 1711.33, Rewards Eval: 1619.90, Total Timesteps: 1970000 episode:196 

Rewards Agent: 1665.59, Rewards Eval: 1786.06, Total Timesteps: 1980000 episode:197 

Rewards Agent: 1702.17, Rewards Eval: 1705.74, Total Timesteps: 1990000 episode:198 

Rewards Agent: 1656.77, Rewards Eval: 1677.90, Total Timesteps: 2000000 episode:199 

Rewards Agent: 1705.18, Rewards Eval: 1721.08, Total Timesteps: 2010000 episode:200 

Rewards Agent: 1669.78, Rewards Eval: 1752.85, Total Timesteps: 2020000 episode:201 

Rewards Agent: 1700.37, Rewards Eval: 1724.35, Total Timesteps: 2030000 episode:202 

Rewards Agent: 1681.74, Rewards Eval: 1728.49, Total Timesteps: 2040000 episode:203 

Rewards Agent: 1714.49, Rewards Eval: 1685.35, Total Timesteps: 2050000 episode:204 

Rewards Agent: 1687.12, Rewards Eval: 1768.72, Total Timesteps: 2060000 episode:205 

Rewards Agent: 1711.61, Rewards Eval: 1743.32, Total Timesteps: 2070000 episode:206 

Rewards Agent: 1705.81, Rewards Eval: 1691.94, Total Timesteps: 2080000 episode:207 

Rewards Agent: 1733.08, Rewards Eval: 1531.92, Total Timesteps: 2090000 episode:208 

Rewards Agent: 1726.25, Rewards Eval: 1697.91, Total Timesteps: 2100000 episode:209 

Rewards Agent: 1715.62, Rewards Eval: 1777.99, Total Timesteps: 2110000 episode:210 

Rewards Agent: 1634.16, Rewards Eval: 1762.81, Total Timesteps: 2120000 episode:211 

Rewards Agent: 1733.51, Rewards Eval: 1625.80, Total Timesteps: 2130000 episode:212 

Rewards Agent: 1649.31, Rewards Eval: 1752.85, Total Timesteps: 2140000 episode:213 

Rewards Agent: 1714.90, Rewards Eval: 1897.50, Total Timesteps: 2150000 episode:214 

Rewards Agent: 1719.84, Rewards Eval: 1678.66, Total Timesteps: 2160000 episode:215 

Rewards Agent: 1733.33, Rewards Eval: 1781.51, Total Timesteps: 2170000 episode:216 

Rewards Agent: 1703.53, Rewards Eval: 1581.50, Total Timesteps: 2180000 episode:217 

Rewards Agent: 1698.58, Rewards Eval: 1758.73, Total Timesteps: 2190000 episode:218 

Rewards Agent: 1741.30, Rewards Eval: 1667.77, Total Timesteps: 2200000 episode:219 

Rewards Agent: 1713.79, Rewards Eval: 1686.49, Total Timesteps: 2210000 episode:220 

Rewards Agent: 1701.06, Rewards Eval: 1781.70, Total Timesteps: 2220000 episode:221 

Rewards Agent: 1750.96, Rewards Eval: 1764.86, Total Timesteps: 2230000 episode:222 

Rewards Agent: 1743.44, Rewards Eval: 1730.68, Total Timesteps: 2240000 episode:223 

Rewards Agent: 1707.67, Rewards Eval: 1710.54, Total Timesteps: 2250000 episode:224 

Rewards Agent: 1668.48, Rewards Eval: 1855.53, Total Timesteps: 2260000 episode:225 

Rewards Agent: 1771.21, Rewards Eval: 1815.81, Total Timesteps: 2270000 episode:226 

Rewards Agent: 1700.67, Rewards Eval: 1882.53, Total Timesteps: 2280000 episode:227 

Rewards Agent: 1763.93, Rewards Eval: 1848.90, Total Timesteps: 2290000 episode:228 

Rewards Agent: 1721.81, Rewards Eval: 1817.05, Total Timesteps: 2300000 episode:229 

Rewards Agent: 1788.80, Rewards Eval: 1806.45, Total Timesteps: 2310000 episode:230 

Rewards Agent: 1764.49, Rewards Eval: 1739.56, Total Timesteps: 2320000 episode:231 

Rewards Agent: 1778.57, Rewards Eval: 1859.89, Total Timesteps: 2330000 episode:232 

Rewards Agent: 1785.50, Rewards Eval: 1788.84, Total Timesteps: 2340000 episode:233 

Rewards Agent: 1767.85, Rewards Eval: 1680.79, Total Timesteps: 2350000 episode:234 

Rewards Agent: 1764.26, Rewards Eval: 1802.37, Total Timesteps: 2360000 episode:235 

Rewards Agent: 1772.45, Rewards Eval: 1765.25, Total Timesteps: 2370000 episode:236 

Rewards Agent: 1774.63, Rewards Eval: 1771.90, Total Timesteps: 2380000 episode:237 

Rewards Agent: 1759.21, Rewards Eval: 1868.32, Total Timesteps: 2390000 episode:238 

Rewards Agent: 1716.08, Rewards Eval: 1727.34, Total Timesteps: 2400000 episode:239 

Rewards Agent: 1784.57, Rewards Eval: 1752.23, Total Timesteps: 2410000 episode:240 

Rewards Agent: 1705.13, Rewards Eval: 1842.92, Total Timesteps: 2420000 episode:241 

Rewards Agent: 1799.46, Rewards Eval: 1847.07, Total Timesteps: 2430000 episode:242 

Rewards Agent: 1754.68, Rewards Eval: 1824.00, Total Timesteps: 2440000 episode:243 

Rewards Agent: 1755.39, Rewards Eval: 1846.53, Total Timesteps: 2450000 episode:244 

Rewards Agent: 1747.32, Rewards Eval: 1850.67, Total Timesteps: 2460000 episode:245 

Rewards Agent: 1816.43, Rewards Eval: 1838.88, Total Timesteps: 2470000 episode:246 

Rewards Agent: 1756.38, Rewards Eval: 1870.70, Total Timesteps: 2480000 episode:247 

Rewards Agent: 1826.95, Rewards Eval: 1830.65, Total Timesteps: 2490000 episode:248 

Rewards Agent: 1784.09, Rewards Eval: 1750.48, Total Timesteps: 2500000 episode:249 

Rewards Agent: 1794.65, Rewards Eval: 1685.03, Total Timesteps: 2510000 episode:250 

Rewards Agent: 1814.46, Rewards Eval: 1873.34, Total Timesteps: 2520000 episode:251 

Rewards Agent: 1781.84, Rewards Eval: 1839.94, Total Timesteps: 2530000 episode:252 

Rewards Agent: 1766.82, Rewards Eval: 1693.59, Total Timesteps: 2540000 episode:253 

Rewards Agent: 1741.73, Rewards Eval: 1781.92, Total Timesteps: 2550000 episode:254 

Rewards Agent: 1790.54, Rewards Eval: 1950.08, Total Timesteps: 2560000 episode:255 

Rewards Agent: 1825.30, Rewards Eval: 1718.71, Total Timesteps: 2570000 episode:256 

Rewards Agent: 1819.00, Rewards Eval: 1874.13, Total Timesteps: 2580000 episode:257 

Rewards Agent: 1799.44, Rewards Eval: 1629.79, Total Timesteps: 2590000 episode:258 

Rewards Agent: 1836.20, Rewards Eval: 1834.43, Total Timesteps: 2600000 episode:259 

