
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 1 

2022-01-30 00:57:26.842228: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-01-30 00:57:30.650402: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-PCIE-32GB, pci bus id: 0000:86:00.0, compute capability: 7.0
Rewards Agent: 834.39, Rewards Eval: 747.74, Total Timesteps: 2390000 episode:238 

Rewards Agent: 823.59, Rewards Eval: 871.36, Total Timesteps: 2400000 episode:239 

Rewards Agent: 841.69, Rewards Eval: 774.85, Total Timesteps: 2410000 episode:240 

Rewards Agent: 845.58, Rewards Eval: 861.04, Total Timesteps: 2420000 episode:241 

Rewards Agent: 823.72, Rewards Eval: 865.68, Total Timesteps: 2430000 episode:242 

Rewards Agent: 851.77, Rewards Eval: 842.94, Total Timesteps: 2440000 episode:243 

Rewards Agent: 845.08, Rewards Eval: 904.58, Total Timesteps: 2450000 episode:244 

Rewards Agent: 866.13, Rewards Eval: 783.51, Total Timesteps: 2460000 episode:245 

Rewards Agent: 855.03, Rewards Eval: 899.44, Total Timesteps: 2470000 episode:246 

Rewards Agent: 845.33, Rewards Eval: 917.31, Total Timesteps: 2480000 episode:247 

Rewards Agent: 869.02, Rewards Eval: 817.18, Total Timesteps: 2490000 episode:248 

Rewards Agent: 840.80, Rewards Eval: 845.97, Total Timesteps: 2500000 episode:249 

Rewards Agent: 845.51, Rewards Eval: 873.16, Total Timesteps: 2510000 episode:250 

Rewards Agent: 849.82, Rewards Eval: 911.13, Total Timesteps: 2520000 episode:251 

Rewards Agent: 881.52, Rewards Eval: 916.13, Total Timesteps: 2530000 episode:252 

Rewards Agent: 864.79, Rewards Eval: 910.23, Total Timesteps: 2540000 episode:253 

Rewards Agent: 868.24, Rewards Eval: 830.12, Total Timesteps: 2550000 episode:254 

Rewards Agent: 878.81, Rewards Eval: 929.30, Total Timesteps: 2560000 episode:255 

Rewards Agent: 875.97, Rewards Eval: 917.22, Total Timesteps: 2570000 episode:256 

Rewards Agent: 887.77, Rewards Eval: 891.35, Total Timesteps: 2580000 episode:257 

Rewards Agent: 867.29, Rewards Eval: 850.57, Total Timesteps: 2590000 episode:258 

Rewards Agent: 884.67, Rewards Eval: 922.72, Total Timesteps: 2600000 episode:259 

Rewards Agent: 902.88, Rewards Eval: 860.77, Total Timesteps: 2610000 episode:260 

Rewards Agent: 895.55, Rewards Eval: 887.90, Total Timesteps: 2620000 episode:261 

Rewards Agent: 895.40, Rewards Eval: 906.42, Total Timesteps: 2630000 episode:262 

Rewards Agent: 887.31, Rewards Eval: 773.40, Total Timesteps: 2640000 episode:263 

Rewards Agent: 901.37, Rewards Eval: 856.44, Total Timesteps: 2650000 episode:264 

Rewards Agent: 901.04, Rewards Eval: 803.24, Total Timesteps: 2660000 episode:265 

Rewards Agent: 919.07, Rewards Eval: 930.55, Total Timesteps: 2670000 episode:266 

Rewards Agent: 912.34, Rewards Eval: 942.98, Total Timesteps: 2680000 episode:267 

