
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 1 

2022-01-30 00:57:28.193203: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-01-30 00:57:34.100129: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:89:00.0, compute capability: 7.0
Rewards Agent: 760.57, Rewards Eval: 764.03, Total Timesteps: 1690000 episode:168 

Rewards Agent: 741.37, Rewards Eval: 743.63, Total Timesteps: 1700000 episode:169 

Rewards Agent: 757.57, Rewards Eval: 798.59, Total Timesteps: 1710000 episode:170 

Rewards Agent: 780.16, Rewards Eval: 841.89, Total Timesteps: 1720000 episode:171 

Rewards Agent: 785.40, Rewards Eval: 812.12, Total Timesteps: 1730000 episode:172 

Rewards Agent: 799.11, Rewards Eval: 785.35, Total Timesteps: 1740000 episode:173 

Rewards Agent: 762.48, Rewards Eval: 839.23, Total Timesteps: 1750000 episode:174 

Rewards Agent: 782.00, Rewards Eval: 860.84, Total Timesteps: 1760000 episode:175 

Rewards Agent: 791.90, Rewards Eval: 831.92, Total Timesteps: 1770000 episode:176 

Rewards Agent: 807.65, Rewards Eval: 865.50, Total Timesteps: 1780000 episode:177 

Rewards Agent: 815.88, Rewards Eval: 867.07, Total Timesteps: 1790000 episode:178 

Rewards Agent: 769.80, Rewards Eval: 859.02, Total Timesteps: 1800000 episode:179 

Rewards Agent: 807.77, Rewards Eval: 751.35, Total Timesteps: 1810000 episode:180 

Rewards Agent: 824.90, Rewards Eval: 837.66, Total Timesteps: 1820000 episode:181 

Rewards Agent: 814.72, Rewards Eval: 967.85, Total Timesteps: 1830000 episode:182 

Rewards Agent: 817.19, Rewards Eval: 889.64, Total Timesteps: 1840000 episode:183 

Rewards Agent: 800.27, Rewards Eval: 911.61, Total Timesteps: 1850000 episode:184 

Rewards Agent: 824.36, Rewards Eval: 838.21, Total Timesteps: 1860000 episode:185 

Rewards Agent: 828.89, Rewards Eval: 876.28, Total Timesteps: 1870000 episode:186 

Rewards Agent: 829.51, Rewards Eval: 864.31, Total Timesteps: 1880000 episode:187 

Rewards Agent: 827.63, Rewards Eval: 864.61, Total Timesteps: 1890000 episode:188 

Rewards Agent: 846.24, Rewards Eval: 940.91, Total Timesteps: 1900000 episode:189 

Rewards Agent: 821.53, Rewards Eval: 862.00, Total Timesteps: 1910000 episode:190 

Rewards Agent: 845.36, Rewards Eval: 891.09, Total Timesteps: 1920000 episode:191 

Rewards Agent: 833.15, Rewards Eval: 944.63, Total Timesteps: 1930000 episode:192 

Rewards Agent: 856.80, Rewards Eval: 774.68, Total Timesteps: 1940000 episode:193 

Rewards Agent: 857.93, Rewards Eval: 922.92, Total Timesteps: 1950000 episode:194 

Rewards Agent: 831.40, Rewards Eval: 851.48, Total Timesteps: 1960000 episode:195 

Rewards Agent: 844.77, Rewards Eval: 935.35, Total Timesteps: 1970000 episode:196 

Rewards Agent: 846.76, Rewards Eval: 893.26, Total Timesteps: 1980000 episode:197 

Rewards Agent: 827.06, Rewards Eval: 841.57, Total Timesteps: 1990000 episode:198 

Rewards Agent: 849.44, Rewards Eval: 945.56, Total Timesteps: 2000000 episode:199 

Rewards Agent: 889.42, Rewards Eval: 965.61, Total Timesteps: 2010000 episode:200 

Rewards Agent: 883.88, Rewards Eval: 918.55, Total Timesteps: 2020000 episode:201 

Rewards Agent: 870.18, Rewards Eval: 934.76, Total Timesteps: 2030000 episode:202 

Rewards Agent: 845.80, Rewards Eval: 979.30, Total Timesteps: 2040000 episode:203 

Rewards Agent: 875.72, Rewards Eval: 948.42, Total Timesteps: 2050000 episode:204 

Rewards Agent: 861.25, Rewards Eval: 915.22, Total Timesteps: 2060000 episode:205 

Rewards Agent: 888.14, Rewards Eval: 712.95, Total Timesteps: 2070000 episode:206 

Rewards Agent: 871.84, Rewards Eval: 965.73, Total Timesteps: 2080000 episode:207 

Rewards Agent: 888.12, Rewards Eval: 920.28, Total Timesteps: 2090000 episode:208 

Rewards Agent: 897.14, Rewards Eval: 930.97, Total Timesteps: 2100000 episode:209 

Rewards Agent: 916.09, Rewards Eval: 999.61, Total Timesteps: 2110000 episode:210 

Rewards Agent: 917.91, Rewards Eval: 923.28, Total Timesteps: 2120000 episode:211 

Rewards Agent: 918.28, Rewards Eval: 743.43, Total Timesteps: 2130000 episode:212 

Rewards Agent: 883.92, Rewards Eval: 873.29, Total Timesteps: 2140000 episode:213 

Rewards Agent: 921.59, Rewards Eval: 937.12, Total Timesteps: 2150000 episode:214 

Rewards Agent: 864.18, Rewards Eval: 751.37, Total Timesteps: 2160000 episode:215 

Rewards Agent: 880.17, Rewards Eval: 1001.17, Total Timesteps: 2170000 episode:216 

Rewards Agent: 864.96, Rewards Eval: 788.66, Total Timesteps: 2180000 episode:217 

Rewards Agent: 832.45, Rewards Eval: 876.09, Total Timesteps: 2190000 episode:218 

Rewards Agent: 859.64, Rewards Eval: 897.23, Total Timesteps: 2200000 episode:219 

Rewards Agent: 856.79, Rewards Eval: 679.67, Total Timesteps: 2210000 episode:220 

Rewards Agent: 903.57, Rewards Eval: 954.02, Total Timesteps: 2220000 episode:221 

Rewards Agent: 834.39, Rewards Eval: 850.41, Total Timesteps: 2230000 episode:222 

Rewards Agent: 860.92, Rewards Eval: 755.90, Total Timesteps: 2240000 episode:223 

Rewards Agent: 903.76, Rewards Eval: 918.50, Total Timesteps: 2250000 episode:224 

Rewards Agent: 902.71, Rewards Eval: 795.28, Total Timesteps: 2260000 episode:225 

Rewards Agent: 883.49, Rewards Eval: 968.11, Total Timesteps: 2270000 episode:226 

Rewards Agent: 896.82, Rewards Eval: 1002.40, Total Timesteps: 2280000 episode:227 

Rewards Agent: 945.91, Rewards Eval: 1092.85, Total Timesteps: 2290000 episode:228 

Rewards Agent: 885.89, Rewards Eval: 1009.62, Total Timesteps: 2300000 episode:229 

Rewards Agent: 926.94, Rewards Eval: 1019.66, Total Timesteps: 2310000 episode:230 

Rewards Agent: 947.35, Rewards Eval: 999.41, Total Timesteps: 2320000 episode:231 

Rewards Agent: 967.35, Rewards Eval: 1088.22, Total Timesteps: 2330000 episode:232 

Rewards Agent: 964.16, Rewards Eval: 1003.34, Total Timesteps: 2340000 episode:233 

Rewards Agent: 964.18, Rewards Eval: 1018.32, Total Timesteps: 2350000 episode:234 

Rewards Agent: 987.80, Rewards Eval: 999.26, Total Timesteps: 2360000 episode:235 

Rewards Agent: 998.62, Rewards Eval: 999.97, Total Timesteps: 2370000 episode:236 

Rewards Agent: 977.93, Rewards Eval: 1065.13, Total Timesteps: 2380000 episode:237 

Rewards Agent: 987.86, Rewards Eval: 1041.96, Total Timesteps: 2390000 episode:238 

Rewards Agent: 968.21, Rewards Eval: 1102.78, Total Timesteps: 2400000 episode:239 

Rewards Agent: 1007.98, Rewards Eval: 1049.41, Total Timesteps: 2410000 episode:240 

Rewards Agent: 1020.78, Rewards Eval: 899.91, Total Timesteps: 2420000 episode:241 

Rewards Agent: 1007.45, Rewards Eval: 1088.46, Total Timesteps: 2430000 episode:242 

