For Seed: 103 

Rewards Tr: 148.31, Rewards Val: 150.12, Rewards Eval: 132.80, Total Timesteps: 78141060 episode:154 

Rewards Tr: 154.08, Rewards Val: 155.40, Rewards Eval: 132.56, Total Timesteps: 78741060 episode:155 

Rewards Tr: 148.07, Rewards Val: 155.83, Rewards Eval: 136.68, Total Timesteps: 79341060 episode:156 

Rewards Tr: 146.54, Rewards Val: 150.29, Rewards Eval: 140.31, Total Timesteps: 79941060 episode:157 

Rewards Tr: 154.48, Rewards Val: 154.44, Rewards Eval: 118.14, Total Timesteps: 80541060 episode:158 

Rewards Tr: 155.47, Rewards Val: 147.97, Rewards Eval: 160.43, Total Timesteps: 81141060 episode:159 

Rewards Tr: 151.13, Rewards Val: 155.08, Rewards Eval: 146.43, Total Timesteps: 81741060 episode:160 

Rewards Tr: 155.78, Rewards Val: 157.20, Rewards Eval: 150.01, Total Timesteps: 82341060 episode:161 

Rewards Tr: 149.03, Rewards Val: 152.63, Rewards Eval: 181.36, Total Timesteps: 82941060 episode:162 

Rewards Tr: 153.75, Rewards Val: 152.79, Rewards Eval: 136.16, Total Timesteps: 83541060 episode:163 

Rewards Tr: 155.15, Rewards Val: 155.60, Rewards Eval: 131.44, Total Timesteps: 84141060 episode:164 

Rewards Tr: 153.32, Rewards Val: 148.03, Rewards Eval: 155.28, Total Timesteps: 84741060 episode:165 

Rewards Tr: 154.18, Rewards Val: 153.44, Rewards Eval: 161.54, Total Timesteps: 85341060 episode:166 

Rewards Tr: 153.89, Rewards Val: 155.14, Rewards Eval: 150.98, Total Timesteps: 85941060 episode:167 

Rewards Tr: 156.39, Rewards Val: 153.83, Rewards Eval: 141.57, Total Timesteps: 86541060 episode:168 

Rewards Tr: 156.11, Rewards Val: 151.68, Rewards Eval: 136.85, Total Timesteps: 87141060 episode:169 

Rewards Tr: 150.86, Rewards Val: 157.91, Rewards Eval: 149.50, Total Timesteps: 87741060 episode:170 

Rewards Tr: 154.29, Rewards Val: 150.43, Rewards Eval: 134.68, Total Timesteps: 88341060 episode:171 

Rewards Tr: 154.43, Rewards Val: 157.26, Rewards Eval: 151.78, Total Timesteps: 88941060 episode:172 

Rewards Tr: 153.06, Rewards Val: 157.62, Rewards Eval: 170.48, Total Timesteps: 89541060 episode:173 

Rewards Tr: 153.64, Rewards Val: 152.71, Rewards Eval: 140.58, Total Timesteps: 90141060 episode:174 

Rewards Tr: 155.57, Rewards Val: 153.00, Rewards Eval: 178.38, Total Timesteps: 90741060 episode:175 

Rewards Tr: 153.75, Rewards Val: 156.59, Rewards Eval: 157.30, Total Timesteps: 91341060 episode:176 

Rewards Tr: 150.87, Rewards Val: 154.81, Rewards Eval: 162.40, Total Timesteps: 91941060 episode:177 

Rewards Tr: 149.88, Rewards Val: 150.00, Rewards Eval: 143.91, Total Timesteps: 92541060 episode:178 

Rewards Tr: 145.12, Rewards Val: 147.72, Rewards Eval: 120.44, Total Timesteps: 93141060 episode:179 

Rewards Tr: 151.15, Rewards Val: 148.10, Rewards Eval: 159.82, Total Timesteps: 93741060 episode:180 

Rewards Tr: 154.62, Rewards Val: 153.62, Rewards Eval: 137.74, Total Timesteps: 94341060 episode:181 

Rewards Tr: 152.21, Rewards Val: 148.87, Rewards Eval: 160.81, Total Timesteps: 94941060 episode:182 

Rewards Tr: 161.70, Rewards Val: 160.68, Rewards Eval: 142.43, Total Timesteps: 95541060 episode:183 

Rewards Tr: 147.52, Rewards Val: 148.19, Rewards Eval: 172.21, Total Timesteps: 96141060 episode:184 

Rewards Tr: 145.57, Rewards Val: 142.07, Rewards Eval: 165.98, Total Timesteps: 96741060 episode:185 

Rewards Tr: 157.44, Rewards Val: 160.09, Rewards Eval: 161.37, Total Timesteps: 97341060 episode:186 

Rewards Tr: 144.55, Rewards Val: 141.78, Rewards Eval: 147.33, Total Timesteps: 97941060 episode:187 

Rewards Tr: 146.93, Rewards Val: 147.89, Rewards Eval: 177.58, Total Timesteps: 98533130 episode:188 

Rewards Tr: 163.39, Rewards Val: 157.79, Rewards Eval: 186.49, Total Timesteps: 99133130 episode:189 

Rewards Tr: 151.95, Rewards Val: 153.63, Rewards Eval: 123.29, Total Timesteps: 99733130 episode:190 

Rewards Tr: 155.82, Rewards Val: 156.23, Rewards Eval: 177.29, Total Timesteps: 100333130 episode:191 

Rewards Tr: 161.02, Rewards Val: 162.02, Rewards Eval: 165.43, Total Timesteps: 100933130 episode:192 

Rewards Tr: 150.59, Rewards Val: 151.69, Rewards Eval: 173.91, Total Timesteps: 101533130 episode:193 

Rewards Tr: 149.11, Rewards Val: 150.90, Rewards Eval: 189.76, Total Timesteps: 102133130 episode:194 

Rewards Tr: 152.56, Rewards Val: 149.97, Rewards Eval: 132.25, Total Timesteps: 102733130 episode:195 

Rewards Tr: 158.15, Rewards Val: 157.11, Rewards Eval: 173.27, Total Timesteps: 103333130 episode:196 

Rewards Tr: 158.61, Rewards Val: 156.08, Rewards Eval: 141.21, Total Timesteps: 103933130 episode:197 

Rewards Tr: 157.34, Rewards Val: 156.40, Rewards Eval: 137.01, Total Timesteps: 104533130 episode:198 

Rewards Tr: 149.80, Rewards Val: 153.51, Rewards Eval: 123.68, Total Timesteps: 105133130 episode:199 

Rewards Tr: 148.96, Rewards Val: 154.22, Rewards Eval: 162.74, Total Timesteps: 105733130 episode:200 

Rewards Tr: 149.70, Rewards Val: 146.52, Rewards Eval: 131.97, Total Timesteps: 106333130 episode:201 

Rewards Tr: 137.31, Rewards Val: 142.48, Rewards Eval: 178.68, Total Timesteps: 106933130 episode:202 

Rewards Tr: 141.07, Rewards Val: 142.35, Rewards Eval: 180.96, Total Timesteps: 107533130 episode:203 

Rewards Tr: 136.73, Rewards Val: 133.15, Rewards Eval: 169.08, Total Timesteps: 108133130 episode:204 

Rewards Tr: 138.65, Rewards Val: 140.99, Rewards Eval: 142.60, Total Timesteps: 108733130 episode:205 

Rewards Tr: 139.60, Rewards Val: 136.84, Rewards Eval: 151.65, Total Timesteps: 109333130 episode:206 

