For Seed: 1 

Rewards Tr: 912.09, Rewards Val: 935.68, Rewards Disc: 2.40, Rewards Eval: 921.10, Total Timesteps: 16581460 episode:130 

Rewards Tr: 927.69, Rewards Val: 978.18, Rewards Disc: 0.63, Rewards Eval: 934.76, Total Timesteps: 16820890 episode:131 

Rewards Tr: 955.94, Rewards Val: 1059.45, Rewards Disc: 0.66, Rewards Eval: 942.00, Total Timesteps: 17096230 episode:132 

Rewards Tr: 1126.59, Rewards Val: 1152.69, Rewards Disc: -1.80, Rewards Eval: 1175.62, Total Timesteps: 17406630 episode:133 

Rewards Tr: 1030.74, Rewards Val: 1022.18, Rewards Disc: -0.07, Rewards Eval: 1714.77, Total Timesteps: 17678160 episode:134 

Rewards Tr: 980.89, Rewards Val: 1032.82, Rewards Disc: 1.62, Rewards Eval: 1200.25, Total Timesteps: 17943550 episode:135 

Rewards Tr: 1064.37, Rewards Val: 1086.65, Rewards Disc: 2.87, Rewards Eval: 1243.91, Total Timesteps: 18231770 episode:136 

Rewards Tr: 1074.71, Rewards Val: 1069.34, Rewards Disc: 2.85, Rewards Eval: 1071.78, Total Timesteps: 18537640 episode:137 

Rewards Tr: 1218.21, Rewards Val: 1178.82, Rewards Disc: 1.51, Rewards Eval: 1560.65, Total Timesteps: 18871620 episode:138 

Rewards Tr: 1374.76, Rewards Val: 1420.16, Rewards Disc: -2.79, Rewards Eval: 1512.62, Total Timesteps: 19237740 episode:139 

Rewards Tr: 1070.71, Rewards Val: 1194.34, Rewards Disc: 0.76, Rewards Eval: 949.69, Total Timesteps: 19538090 episode:140 

Rewards Tr: 1343.11, Rewards Val: 1379.28, Rewards Disc: -3.68, Rewards Eval: 1746.71, Total Timesteps: 19897110 episode:141 

Rewards Tr: 1464.46, Rewards Val: 1640.99, Rewards Disc: -3.25, Rewards Eval: 1860.99, Total Timesteps: 20290600 episode:142 

Rewards Tr: 1562.69, Rewards Val: 1608.86, Rewards Disc: 2.07, Rewards Eval: 1840.54, Total Timesteps: 20647650 episode:143 

Rewards Tr: 1676.01, Rewards Val: 1669.37, Rewards Disc: 5.34, Rewards Eval: 1534.92, Total Timesteps: 20990270 episode:144 

Rewards Tr: 1585.66, Rewards Val: 1705.29, Rewards Disc: 6.31, Rewards Eval: 2027.95, Total Timesteps: 21319480 episode:145 

Rewards Tr: 1669.10, Rewards Val: 1675.24, Rewards Disc: 7.05, Rewards Eval: 1876.65, Total Timesteps: 21629010 episode:146 

Rewards Tr: 1742.02, Rewards Val: 1701.14, Rewards Disc: 8.26, Rewards Eval: 1939.36, Total Timesteps: 21938110 episode:147 

Rewards Tr: 1735.65, Rewards Val: 1742.36, Rewards Disc: 8.95, Rewards Eval: 2218.20, Total Timesteps: 22234970 episode:148 

Rewards Tr: 1719.57, Rewards Val: 1737.72, Rewards Disc: 9.91, Rewards Eval: 1596.27, Total Timesteps: 22513050 episode:149 

Rewards Tr: 1716.64, Rewards Val: 1719.47, Rewards Disc: 10.02, Rewards Eval: 1468.92, Total Timesteps: 22783970 episode:150 

Rewards Tr: 1723.82, Rewards Val: 1723.33, Rewards Disc: 10.52, Rewards Eval: 1814.62, Total Timesteps: 23058290 episode:151 

Rewards Tr: 1729.48, Rewards Val: 1714.29, Rewards Disc: 10.10, Rewards Eval: 1197.22, Total Timesteps: 23321900 episode:152 

Rewards Tr: 1733.87, Rewards Val: 1690.00, Rewards Disc: 10.08, Rewards Eval: 1335.28, Total Timesteps: 23591820 episode:153 

Rewards Tr: 1748.92, Rewards Val: 1684.02, Rewards Disc: 9.79, Rewards Eval: 1585.68, Total Timesteps: 23857770 episode:154 

Rewards Tr: 1696.43, Rewards Val: 1691.84, Rewards Disc: 9.50, Rewards Eval: 1446.74, Total Timesteps: 24123360 episode:155 

Rewards Tr: 1726.47, Rewards Val: 1675.80, Rewards Disc: 10.33, Rewards Eval: 1559.93, Total Timesteps: 24385510 episode:156 

Rewards Tr: 1717.43, Rewards Val: 1722.05, Rewards Disc: 9.79, Rewards Eval: 1465.60, Total Timesteps: 24648780 episode:157 

Rewards Tr: 1706.32, Rewards Val: 1730.14, Rewards Disc: 9.87, Rewards Eval: 1949.63, Total Timesteps: 24909650 episode:158 

Rewards Tr: 1735.58, Rewards Val: 1695.39, Rewards Disc: 10.25, Rewards Eval: 1689.95, Total Timesteps: 25174840 episode:159 

Rewards Tr: 1734.31, Rewards Val: 1712.63, Rewards Disc: 10.10, Rewards Eval: 1652.55, Total Timesteps: 25436960 episode:160 

Rewards Tr: 1722.94, Rewards Val: 1750.18, Rewards Disc: 8.85, Rewards Eval: 1517.06, Total Timesteps: 25699450 episode:161 

Rewards Tr: 1665.74, Rewards Val: 1693.44, Rewards Disc: 8.78, Rewards Eval: 1409.55, Total Timesteps: 25961560 episode:162 

Rewards Tr: 1609.71, Rewards Val: 1701.47, Rewards Disc: 7.59, Rewards Eval: 1642.41, Total Timesteps: 26225470 episode:163 

Rewards Tr: 1676.10, Rewards Val: 1651.49, Rewards Disc: 10.14, Rewards Eval: 1314.09, Total Timesteps: 26486690 episode:164 

Rewards Tr: 1729.07, Rewards Val: 1777.85, Rewards Disc: 9.08, Rewards Eval: 1025.85, Total Timesteps: 26748920 episode:165 

Rewards Tr: 1717.53, Rewards Val: 1727.05, Rewards Disc: 8.52, Rewards Eval: 1265.77, Total Timesteps: 27010210 episode:166 

Rewards Tr: 1747.97, Rewards Val: 1760.66, Rewards Disc: 10.89, Rewards Eval: 1849.68, Total Timesteps: 27275020 episode:167 

Rewards Tr: 1778.55, Rewards Val: 1805.02, Rewards Disc: 10.41, Rewards Eval: 1465.57, Total Timesteps: 27542280 episode:168 

Rewards Tr: 1783.75, Rewards Val: 1784.50, Rewards Disc: 9.31, Rewards Eval: 1868.70, Total Timesteps: 27808490 episode:169 

Rewards Tr: 1771.98, Rewards Val: 1744.00, Rewards Disc: 10.63, Rewards Eval: 1548.74, Total Timesteps: 28072320 episode:170 

Rewards Tr: 1753.71, Rewards Val: 1723.70, Rewards Disc: 9.71, Rewards Eval: 1217.64, Total Timesteps: 28334030 episode:171 

Rewards Tr: 1725.28, Rewards Val: 1737.16, Rewards Disc: 8.55, Rewards Eval: 1128.79, Total Timesteps: 28605090 episode:172 

Rewards Tr: 1733.36, Rewards Val: 1744.27, Rewards Disc: 9.69, Rewards Eval: 1712.80, Total Timesteps: 28870800 episode:173 

Rewards Tr: 1696.43, Rewards Val: 1738.95, Rewards Disc: 7.85, Rewards Eval: 1737.70, Total Timesteps: 29140970 episode:174 

Rewards Tr: 1620.65, Rewards Val: 1625.04, Rewards Disc: 6.79, Rewards Eval: 1084.51, Total Timesteps: 29410690 episode:175 

Rewards Tr: 1567.15, Rewards Val: 1553.41, Rewards Disc: 8.37, Rewards Eval: 1476.79, Total Timesteps: 29678750 episode:176 

Rewards Tr: 1752.30, Rewards Val: 1728.20, Rewards Disc: 9.29, Rewards Eval: 1220.89, Total Timesteps: 29948830 episode:177 

Rewards Tr: 1763.01, Rewards Val: 1772.17, Rewards Disc: 9.10, Rewards Eval: 1409.53, Total Timesteps: 30221600 episode:178 

Rewards Tr: 1804.06, Rewards Val: 1732.02, Rewards Disc: 10.09, Rewards Eval: 1180.43, Total Timesteps: 30494290 episode:179 

Rewards Tr: 1763.87, Rewards Val: 1638.64, Rewards Disc: 10.03, Rewards Eval: 1459.13, Total Timesteps: 30767660 episode:180 

Rewards Tr: 1739.22, Rewards Val: 1748.34, Rewards Disc: 9.01, Rewards Eval: 1907.42, Total Timesteps: 31039680 episode:181 

Rewards Tr: 1777.63, Rewards Val: 1773.80, Rewards Disc: 9.94, Rewards Eval: 1380.40, Total Timesteps: 31314000 episode:182 

Rewards Tr: 1779.99, Rewards Val: 1732.77, Rewards Disc: 9.45, Rewards Eval: 1549.08, Total Timesteps: 31593230 episode:183 

Rewards Tr: 1814.01, Rewards Val: 1793.36, Rewards Disc: 9.88, Rewards Eval: 1498.57, Total Timesteps: 31868940 episode:184 

Rewards Tr: 1783.10, Rewards Val: 1785.79, Rewards Disc: 10.04, Rewards Eval: 1471.31, Total Timesteps: 32142050 episode:185 

Rewards Tr: 1805.93, Rewards Val: 1765.22, Rewards Disc: 9.75, Rewards Eval: 1253.64, Total Timesteps: 32413040 episode:186 

Rewards Tr: 1716.20, Rewards Val: 1713.90, Rewards Disc: 8.92, Rewards Eval: 1282.37, Total Timesteps: 32686450 episode:187 

Rewards Tr: 1765.67, Rewards Val: 1735.75, Rewards Disc: 9.29, Rewards Eval: 1439.83, Total Timesteps: 32963210 episode:188 

Rewards Tr: 1876.76, Rewards Val: 1887.69, Rewards Disc: 10.24, Rewards Eval: 1790.27, Total Timesteps: 33242930 episode:189 

Rewards Tr: 1846.31, Rewards Val: 1891.86, Rewards Disc: 9.90, Rewards Eval: 1804.94, Total Timesteps: 33521440 episode:190 

Rewards Tr: 1791.19, Rewards Val: 1787.30, Rewards Disc: 8.33, Rewards Eval: 1920.87, Total Timesteps: 33799000 episode:191 

Rewards Tr: 1852.62, Rewards Val: 1878.45, Rewards Disc: 9.48, Rewards Eval: 1842.58, Total Timesteps: 34080080 episode:192 

