For Seed: 1 

Rewards Tr: 1284.56, Rewards Disc: 1.25, Rewards Eval: 2015.43, Total Timesteps: 25270100 episode:204 

Rewards Tr: 1328.07, Rewards Disc: 1.29, Rewards Eval: 1576.91, Total Timesteps: 25448280 episode:205 

Rewards Tr: 1370.84, Rewards Disc: 0.13, Rewards Eval: 1696.79, Total Timesteps: 25616900 episode:206 

Rewards Tr: 1314.19, Rewards Disc: 0.57, Rewards Eval: 1854.51, Total Timesteps: 25793770 episode:207 

Rewards Tr: 1288.30, Rewards Disc: 0.74, Rewards Eval: 1753.28, Total Timesteps: 25971560 episode:208 

Rewards Tr: 1258.24, Rewards Disc: 0.75, Rewards Eval: 1277.27, Total Timesteps: 26141430 episode:209 

Rewards Tr: 1311.85, Rewards Disc: 0.09, Rewards Eval: 1799.35, Total Timesteps: 26311790 episode:210 

Rewards Tr: 1347.13, Rewards Disc: -0.22, Rewards Eval: 2070.59, Total Timesteps: 26496470 episode:211 

Rewards Tr: 1220.78, Rewards Disc: 0.64, Rewards Eval: 2089.12, Total Timesteps: 26667420 episode:212 

Rewards Tr: 1301.28, Rewards Disc: 0.02, Rewards Eval: 1853.00, Total Timesteps: 26844120 episode:213 

Rewards Tr: 1328.89, Rewards Disc: -0.03, Rewards Eval: 1822.08, Total Timesteps: 27025150 episode:214 

Rewards Tr: 1323.68, Rewards Disc: 0.03, Rewards Eval: 1247.08, Total Timesteps: 27209710 episode:215 

Rewards Tr: 1234.71, Rewards Disc: 1.19, Rewards Eval: 1908.90, Total Timesteps: 27374770 episode:216 

Rewards Tr: 1284.63, Rewards Disc: 0.26, Rewards Eval: 1438.12, Total Timesteps: 27540630 episode:217 

Rewards Tr: 1356.89, Rewards Disc: -0.06, Rewards Eval: 1857.70, Total Timesteps: 27715770 episode:218 

Rewards Tr: 1452.10, Rewards Disc: -1.43, Rewards Eval: 1721.28, Total Timesteps: 27899040 episode:219 

Rewards Tr: 1341.25, Rewards Disc: -0.51, Rewards Eval: 1920.70, Total Timesteps: 28076860 episode:220 

Rewards Tr: 1326.56, Rewards Disc: -0.35, Rewards Eval: 1989.73, Total Timesteps: 28257580 episode:221 

Rewards Tr: 1346.93, Rewards Disc: -0.66, Rewards Eval: 1521.24, Total Timesteps: 28430540 episode:222 

Rewards Tr: 1347.59, Rewards Disc: -0.59, Rewards Eval: 1679.75, Total Timesteps: 28611660 episode:223 

Rewards Tr: 1323.58, Rewards Disc: -0.53, Rewards Eval: 2268.04, Total Timesteps: 28794520 episode:224 

Rewards Tr: 1267.74, Rewards Disc: 0.09, Rewards Eval: 1666.00, Total Timesteps: 28970050 episode:225 

Rewards Tr: 1207.80, Rewards Disc: 0.63, Rewards Eval: 1588.07, Total Timesteps: 29143950 episode:226 

Rewards Tr: 1393.97, Rewards Disc: -1.00, Rewards Eval: 1789.31, Total Timesteps: 29325230 episode:227 

Rewards Tr: 1321.34, Rewards Disc: -0.61, Rewards Eval: 1153.94, Total Timesteps: 29516990 episode:228 

Rewards Tr: 1281.86, Rewards Disc: -0.50, Rewards Eval: 2247.36, Total Timesteps: 29696480 episode:229 

Rewards Tr: 1287.14, Rewards Disc: -0.58, Rewards Eval: 1504.47, Total Timesteps: 29875580 episode:230 

