
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 


Rewards Tr: 910.07, Rewards Val: 921.75, Rewards Eval: 870.70, Total Timesteps: 56391400 episode:137 

Rewards Tr: 860.23, Rewards Val: 866.49, Rewards Eval: 819.76, Total Timesteps: 56991400 episode:138 

Rewards Tr: 874.25, Rewards Val: 897.08, Rewards Eval: 826.85, Total Timesteps: 57591400 episode:139 

Rewards Tr: 901.31, Rewards Val: 921.98, Rewards Eval: 1035.75, Total Timesteps: 58191400 episode:140 

Rewards Tr: 869.66, Rewards Val: 887.05, Rewards Eval: 708.51, Total Timesteps: 58791400 episode:141 

Rewards Tr: 884.70, Rewards Val: 909.88, Rewards Eval: 927.95, Total Timesteps: 59391400 episode:142 

Rewards Tr: 893.78, Rewards Val: 920.77, Rewards Eval: 1053.71, Total Timesteps: 59991400 episode:143 

Rewards Tr: 910.60, Rewards Val: 915.09, Rewards Eval: 918.88, Total Timesteps: 60591400 episode:144 

Rewards Tr: 878.19, Rewards Val: 848.14, Rewards Eval: 855.10, Total Timesteps: 61191400 episode:145 

Rewards Tr: 861.43, Rewards Val: 882.43, Rewards Eval: 943.43, Total Timesteps: 61791400 episode:146 

Rewards Tr: 881.03, Rewards Val: 861.89, Rewards Eval: 1038.01, Total Timesteps: 62390100 episode:147 

Rewards Tr: 824.71, Rewards Val: 879.27, Rewards Eval: 692.54, Total Timesteps: 62990100 episode:148 

Rewards Tr: 787.94, Rewards Val: 791.35, Rewards Eval: 690.45, Total Timesteps: 63566120 episode:149 

Rewards Tr: 733.65, Rewards Val: 713.68, Rewards Eval: 696.60, Total Timesteps: 64104360 episode:150 

Rewards Tr: 651.77, Rewards Val: 659.72, Rewards Eval: 505.97, Total Timesteps: 64565610 episode:151 

Rewards Tr: 594.81, Rewards Val: 571.44, Rewards Eval: 551.30, Total Timesteps: 64937920 episode:152 

Rewards Tr: 535.69, Rewards Val: 533.34, Rewards Eval: 494.06, Total Timesteps: 65263420 episode:153 

Rewards Tr: 483.89, Rewards Val: 483.15, Rewards Eval: 469.22, Total Timesteps: 65533350 episode:154 

Rewards Tr: 450.59, Rewards Val: 457.92, Rewards Eval: 461.37, Total Timesteps: 65776500 episode:155 

Rewards Tr: 431.01, Rewards Val: 438.13, Rewards Eval: 397.11, Total Timesteps: 65997050 episode:156 

Rewards Tr: 399.98, Rewards Val: 401.56, Rewards Eval: 397.11, Total Timesteps: 66195140 episode:157 

Rewards Tr: 386.81, Rewards Val: 380.84, Rewards Eval: 356.81, Total Timesteps: 66374860 episode:158 

Rewards Tr: 369.53, Rewards Val: 371.01, Rewards Eval: 402.03, Total Timesteps: 66546410 episode:159 

Rewards Tr: 359.87, Rewards Val: 362.00, Rewards Eval: 363.84, Total Timesteps: 66709850 episode:160 

Rewards Tr: 356.76, Rewards Val: 356.66, Rewards Eval: 355.36, Total Timesteps: 66869590 episode:161 

Rewards Tr: 356.99, Rewards Val: 357.78, Rewards Eval: 365.69, Total Timesteps: 67023320 episode:162 

Rewards Tr: 360.04, Rewards Val: 359.63, Rewards Eval: 364.65, Total Timesteps: 67179890 episode:163 

