For Seed: 1 

Rewards Tr: 166.32, Rewards Val: 160.44, Rewards Eval: 151.47, Total Timesteps: 56091710 episode:160 

Rewards Tr: 159.00, Rewards Val: 159.11, Rewards Eval: 98.67, Total Timesteps: 56491710 episode:161 

Rewards Tr: 162.71, Rewards Val: 158.55, Rewards Eval: 123.40, Total Timesteps: 56891710 episode:162 

Rewards Tr: 166.27, Rewards Val: 165.68, Rewards Eval: 142.82, Total Timesteps: 57291710 episode:163 

Rewards Tr: 166.12, Rewards Val: 161.22, Rewards Eval: 131.20, Total Timesteps: 57691710 episode:164 

Rewards Tr: 164.78, Rewards Val: 160.55, Rewards Eval: 155.27, Total Timesteps: 58091710 episode:165 

Rewards Tr: 159.86, Rewards Val: 163.13, Rewards Eval: 190.34, Total Timesteps: 58491710 episode:166 

Rewards Tr: 167.66, Rewards Val: 164.64, Rewards Eval: 164.64, Total Timesteps: 58891710 episode:167 

Rewards Tr: 165.64, Rewards Val: 162.88, Rewards Eval: 137.76, Total Timesteps: 59291710 episode:168 

Rewards Tr: 164.27, Rewards Val: 158.69, Rewards Eval: 132.09, Total Timesteps: 59691710 episode:169 

Rewards Tr: 158.97, Rewards Val: 160.35, Rewards Eval: 134.19, Total Timesteps: 60091710 episode:170 

Rewards Tr: 157.76, Rewards Val: 164.18, Rewards Eval: 119.69, Total Timesteps: 60491710 episode:171 

Rewards Tr: 161.05, Rewards Val: 158.77, Rewards Eval: 156.34, Total Timesteps: 60891710 episode:172 

Rewards Tr: 160.56, Rewards Val: 162.63, Rewards Eval: 111.43, Total Timesteps: 61291710 episode:173 

Rewards Tr: 162.09, Rewards Val: 167.05, Rewards Eval: 124.00, Total Timesteps: 61691710 episode:174 

Rewards Tr: 159.64, Rewards Val: 162.04, Rewards Eval: 161.52, Total Timesteps: 62091710 episode:175 

Rewards Tr: 160.73, Rewards Val: 161.86, Rewards Eval: 148.50, Total Timesteps: 62491710 episode:176 

