For Seed: 102 

Rewards Tr: 82.78, Rewards Disc: 0.47, Rewards Eval: 132.07, Total Timesteps: 38788000 episode:156 

Rewards Tr: 89.67, Rewards Disc: 0.40, Rewards Eval: 134.97, Total Timesteps: 39088000 episode:157 

Rewards Tr: 74.10, Rewards Disc: 0.56, Rewards Eval: 134.52, Total Timesteps: 39388000 episode:158 

Rewards Tr: 56.22, Rewards Disc: 0.74, Rewards Eval: 137.25, Total Timesteps: 39564930 episode:159 

Rewards Tr: 59.44, Rewards Disc: 0.71, Rewards Eval: 141.84, Total Timesteps: 39715920 episode:160 

Rewards Tr: 59.78, Rewards Disc: 0.70, Rewards Eval: 148.62, Total Timesteps: 39867680 episode:161 

Rewards Tr: 62.81, Rewards Disc: 0.67, Rewards Eval: 145.90, Total Timesteps: 40085550 episode:162 

Rewards Tr: 69.26, Rewards Disc: 0.61, Rewards Eval: 140.96, Total Timesteps: 40328990 episode:163 

Rewards Tr: 83.37, Rewards Disc: 0.47, Rewards Eval: 129.07, Total Timesteps: 40620840 episode:164 

Rewards Tr: 108.04, Rewards Disc: 0.22, Rewards Eval: 161.42, Total Timesteps: 40920840 episode:165 

Rewards Tr: 97.07, Rewards Disc: 0.33, Rewards Eval: 104.99, Total Timesteps: 41220840 episode:166 

Rewards Tr: 99.85, Rewards Disc: 0.30, Rewards Eval: 99.02, Total Timesteps: 41520840 episode:167 

Rewards Tr: 107.47, Rewards Disc: 0.23, Rewards Eval: 148.96, Total Timesteps: 41820840 episode:168 

Rewards Tr: 130.23, Rewards Disc: -0.00, Rewards Eval: 115.07, Total Timesteps: 42120840 episode:169 

Rewards Tr: 132.47, Rewards Disc: -0.02, Rewards Eval: 100.12, Total Timesteps: 42420840 episode:170 

Rewards Tr: 113.76, Rewards Disc: 0.16, Rewards Eval: 40.33, Total Timesteps: 42720840 episode:171 

Rewards Tr: 124.06, Rewards Disc: 0.06, Rewards Eval: 107.49, Total Timesteps: 43020840 episode:172 

Rewards Tr: 121.40, Rewards Disc: 0.09, Rewards Eval: 66.89, Total Timesteps: 43320840 episode:173 

Rewards Tr: 109.94, Rewards Disc: 0.20, Rewards Eval: 71.29, Total Timesteps: 43620840 episode:174 

Rewards Tr: 104.27, Rewards Disc: 0.26, Rewards Eval: 58.61, Total Timesteps: 43920840 episode:175 

Rewards Tr: 104.30, Rewards Disc: 0.26, Rewards Eval: 94.64, Total Timesteps: 44220840 episode:176 

Rewards Tr: 103.31, Rewards Disc: 0.27, Rewards Eval: 72.55, Total Timesteps: 44520840 episode:177 

Rewards Tr: 110.28, Rewards Disc: 0.20, Rewards Eval: 80.83, Total Timesteps: 44820840 episode:178 

Rewards Tr: 122.19, Rewards Disc: 0.08, Rewards Eval: 85.97, Total Timesteps: 45120840 episode:179 

Rewards Tr: 126.27, Rewards Disc: 0.04, Rewards Eval: 90.88, Total Timesteps: 45420840 episode:180 

Rewards Tr: 128.54, Rewards Disc: 0.01, Rewards Eval: 87.17, Total Timesteps: 45720840 episode:181 

Rewards Tr: 134.24, Rewards Disc: -0.04, Rewards Eval: 122.23, Total Timesteps: 46020840 episode:182 

Rewards Tr: 138.00, Rewards Disc: -0.08, Rewards Eval: 126.95, Total Timesteps: 46320840 episode:183 

Rewards Tr: 139.02, Rewards Disc: -0.09, Rewards Eval: 78.83, Total Timesteps: 46620840 episode:184 

Rewards Tr: 146.35, Rewards Disc: -0.16, Rewards Eval: 142.16, Total Timesteps: 46920840 episode:185 

Rewards Tr: 144.26, Rewards Disc: -0.14, Rewards Eval: 143.67, Total Timesteps: 47220840 episode:186 

Rewards Tr: 140.18, Rewards Disc: -0.10, Rewards Eval: 134.56, Total Timesteps: 47520840 episode:187 

Rewards Tr: 136.31, Rewards Disc: -0.06, Rewards Eval: 134.38, Total Timesteps: 47820840 episode:188 

Rewards Tr: 121.94, Rewards Disc: 0.08, Rewards Eval: 155.99, Total Timesteps: 48120840 episode:189 

Rewards Tr: 116.15, Rewards Disc: 0.14, Rewards Eval: 147.94, Total Timesteps: 48420840 episode:190 

Rewards Tr: 125.56, Rewards Disc: 0.04, Rewards Eval: 125.83, Total Timesteps: 48720840 episode:191 

Rewards Tr: 108.67, Rewards Disc: 0.21, Rewards Eval: 133.62, Total Timesteps: 49020840 episode:192 

Rewards Tr: 139.31, Rewards Disc: -0.09, Rewards Eval: 124.58, Total Timesteps: 49320840 episode:193 

Rewards Tr: 144.93, Rewards Disc: -0.15, Rewards Eval: 111.73, Total Timesteps: 49620840 episode:194 

Rewards Tr: 144.59, Rewards Disc: -0.15, Rewards Eval: 143.68, Total Timesteps: 49920840 episode:195 

Rewards Tr: 145.43, Rewards Disc: -0.15, Rewards Eval: 154.93, Total Timesteps: 50220840 episode:196 

Rewards Tr: 146.40, Rewards Disc: -0.16, Rewards Eval: 128.67, Total Timesteps: 50520840 episode:197 

Rewards Tr: 146.09, Rewards Disc: -0.16, Rewards Eval: 115.53, Total Timesteps: 50820840 episode:198 

Rewards Tr: 141.80, Rewards Disc: -0.12, Rewards Eval: 122.39, Total Timesteps: 51120840 episode:199 

Rewards Tr: 142.20, Rewards Disc: -0.12, Rewards Eval: 110.05, Total Timesteps: 51420840 episode:200 

Rewards Tr: 138.20, Rewards Disc: -0.08, Rewards Eval: 117.20, Total Timesteps: 51720840 episode:201 

Rewards Tr: 137.61, Rewards Disc: -0.08, Rewards Eval: 123.63, Total Timesteps: 52020840 episode:202 

Rewards Tr: 133.89, Rewards Disc: -0.04, Rewards Eval: 158.03, Total Timesteps: 52320840 episode:203 

Rewards Tr: 136.07, Rewards Disc: -0.06, Rewards Eval: 126.26, Total Timesteps: 52620840 episode:204 

Rewards Tr: 126.34, Rewards Disc: 0.04, Rewards Eval: 124.05, Total Timesteps: 52920840 episode:205 

Rewards Tr: 144.57, Rewards Disc: -0.15, Rewards Eval: 114.53, Total Timesteps: 53220840 episode:206 

Rewards Tr: 138.10, Rewards Disc: -0.08, Rewards Eval: 116.16, Total Timesteps: 53520840 episode:207 

Rewards Tr: 138.94, Rewards Disc: -0.09, Rewards Eval: 121.06, Total Timesteps: 53820840 episode:208 

Rewards Tr: 141.88, Rewards Disc: -0.12, Rewards Eval: 129.14, Total Timesteps: 54120840 episode:209 

Rewards Tr: 145.77, Rewards Disc: -0.16, Rewards Eval: 125.18, Total Timesteps: 54420840 episode:210 

Rewards Tr: 139.77, Rewards Disc: -0.10, Rewards Eval: 90.66, Total Timesteps: 54720840 episode:211 

Rewards Tr: 123.49, Rewards Disc: 0.07, Rewards Eval: 132.93, Total Timesteps: 55020840 episode:212 

Rewards Tr: 135.35, Rewards Disc: -0.05, Rewards Eval: 112.02, Total Timesteps: 55320840 episode:213 

Rewards Tr: 132.39, Rewards Disc: -0.02, Rewards Eval: 130.22, Total Timesteps: 55620840 episode:214 

Rewards Tr: 135.47, Rewards Disc: -0.05, Rewards Eval: 95.86, Total Timesteps: 55920840 episode:215 

Rewards Tr: 139.44, Rewards Disc: -0.09, Rewards Eval: 108.64, Total Timesteps: 56220840 episode:216 

Rewards Tr: 140.83, Rewards Disc: -0.11, Rewards Eval: 113.47, Total Timesteps: 56520840 episode:217 

