
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 10.55, Rewards Eval: 0.00, Total Timesteps: 9130 episode:0 
Rewards Tr: 1625.18, Rewards Eval: 869.47, Total Timesteps: 38975040 episode:270 

Rewards Tr: 1522.79, Rewards Eval: 729.65, Total Timesteps: 39248620 episode:271 

Rewards Tr: 1505.88, Rewards Eval: 912.23, Total Timesteps: 39527950 episode:272 

Rewards Tr: 1396.64, Rewards Eval: 832.43, Total Timesteps: 39775670 episode:273 

Rewards Tr: 1269.63, Rewards Eval: 769.99, Total Timesteps: 40001340 episode:274 

Rewards Tr: 1344.24, Rewards Eval: 1032.04, Total Timesteps: 40235720 episode:275 

Rewards Tr: 1521.55, Rewards Eval: 695.65, Total Timesteps: 40507620 episode:276 

Rewards Tr: 1534.93, Rewards Eval: 1051.14, Total Timesteps: 40789460 episode:277 

Rewards Tr: 1716.32, Rewards Eval: 912.46, Total Timesteps: 41080430 episode:278 

Rewards Tr: 1683.21, Rewards Eval: 690.79, Total Timesteps: 41373660 episode:279 

Rewards Tr: 1553.82, Rewards Eval: 680.34, Total Timesteps: 41655600 episode:280 

Rewards Tr: 1404.75, Rewards Eval: 826.77, Total Timesteps: 41919900 episode:281 

Rewards Tr: 1458.47, Rewards Eval: 488.67, Total Timesteps: 42189890 episode:282 

Rewards Tr: 1492.18, Rewards Eval: 753.64, Total Timesteps: 42459990 episode:283 

Rewards Tr: 1582.45, Rewards Eval: 864.13, Total Timesteps: 42729790 episode:284 

Rewards Tr: 1625.96, Rewards Eval: 1000.40, Total Timesteps: 43013740 episode:285 

Rewards Tr: 1583.91, Rewards Eval: 848.50, Total Timesteps: 43290200 episode:286 

Rewards Tr: 1535.38, Rewards Eval: 1221.84, Total Timesteps: 43565950 episode:287 

Rewards Tr: 1437.67, Rewards Eval: 880.04, Total Timesteps: 43822210 episode:288 

Rewards Tr: 1618.28, Rewards Eval: 1068.03, Total Timesteps: 44100370 episode:289 

Rewards Tr: 1366.71, Rewards Eval: 955.27, Total Timesteps: 44351190 episode:290 

Rewards Tr: 1384.14, Rewards Eval: 530.15, Total Timesteps: 44595240 episode:291 

Rewards Tr: 1291.75, Rewards Eval: 905.72, Total Timesteps: 44812920 episode:292 

