
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 810.01, Rewards Val: 771.09, Rewards Eval: 597.39, Total Timesteps: 42826100 episode:198 

Rewards Tr: 943.75, Rewards Val: 910.73, Rewards Eval: 603.94, Total Timesteps: 43154880 episode:199 

Rewards Tr: 990.55, Rewards Val: 991.67, Rewards Eval: 560.24, Total Timesteps: 43504340 episode:200 

Rewards Tr: 1063.41, Rewards Val: 1050.41, Rewards Eval: 769.20, Total Timesteps: 43903360 episode:201 

Rewards Tr: 1017.81, Rewards Val: 1033.66, Rewards Eval: 548.55, Total Timesteps: 44277810 episode:202 

Rewards Tr: 1065.68, Rewards Val: 1091.49, Rewards Eval: 649.20, Total Timesteps: 44679720 episode:203 

Rewards Tr: 990.67, Rewards Val: 1008.58, Rewards Eval: 594.63, Total Timesteps: 45046310 episode:204 

Rewards Tr: 931.08, Rewards Val: 949.86, Rewards Eval: 623.69, Total Timesteps: 45370710 episode:205 

Rewards Tr: 956.66, Rewards Val: 972.04, Rewards Eval: 885.65, Total Timesteps: 45711520 episode:206 

Rewards Tr: 1065.60, Rewards Val: 1127.52, Rewards Eval: 675.10, Total Timesteps: 46143960 episode:207 

Rewards Tr: 1260.77, Rewards Val: 1268.27, Rewards Eval: 804.08, Total Timesteps: 46647630 episode:208 

Rewards Tr: 1399.42, Rewards Val: 1328.81, Rewards Eval: 618.80, Total Timesteps: 47181080 episode:209 

Rewards Tr: 1436.19, Rewards Val: 1386.68, Rewards Eval: 712.06, Total Timesteps: 47735920 episode:210 

Rewards Tr: 1353.29, Rewards Val: 1316.09, Rewards Eval: 610.98, Total Timesteps: 48282640 episode:211 

Rewards Tr: 1191.54, Rewards Val: 1212.08, Rewards Eval: 590.13, Total Timesteps: 48754630 episode:212 

Rewards Tr: 1123.82, Rewards Val: 1095.90, Rewards Eval: 589.77, Total Timesteps: 49153570 episode:213 

Rewards Tr: 1086.84, Rewards Val: 1060.59, Rewards Eval: 744.06, Total Timesteps: 49561810 episode:214 

Rewards Tr: 991.85, Rewards Val: 984.22, Rewards Eval: 644.55, Total Timesteps: 49910110 episode:215 

Rewards Tr: 967.36, Rewards Val: 986.37, Rewards Eval: 469.39, Total Timesteps: 50252190 episode:216 

Rewards Tr: 1001.23, Rewards Val: 961.75, Rewards Eval: 595.41, Total Timesteps: 50568950 episode:217 

Rewards Tr: 974.52, Rewards Val: 1004.12, Rewards Eval: 523.62, Total Timesteps: 50900450 episode:218 

Rewards Tr: 1063.04, Rewards Val: 1068.37, Rewards Eval: 574.73, Total Timesteps: 51264100 episode:219 

Rewards Tr: 1204.18, Rewards Val: 1146.08, Rewards Eval: 548.16, Total Timesteps: 51714740 episode:220 

Rewards Tr: 1120.84, Rewards Val: 1071.50, Rewards Eval: 847.32, Total Timesteps: 52120940 episode:221 

Rewards Tr: 1161.87, Rewards Val: 1142.39, Rewards Eval: 500.22, Total Timesteps: 52561240 episode:222 

Rewards Tr: 1288.00, Rewards Val: 1240.99, Rewards Eval: 1025.88, Total Timesteps: 53040600 episode:223 

Rewards Tr: 1365.03, Rewards Val: 1320.64, Rewards Eval: 661.00, Total Timesteps: 53549850 episode:224 

Rewards Tr: 1401.38, Rewards Val: 1363.80, Rewards Eval: 606.15, Total Timesteps: 54073690 episode:225 

Rewards Tr: 1290.63, Rewards Val: 1256.87, Rewards Eval: 575.82, Total Timesteps: 54578050 episode:226 

Rewards Tr: 1218.30, Rewards Val: 1176.74, Rewards Eval: 634.75, Total Timesteps: 55037390 episode:227 

Rewards Tr: 1169.19, Rewards Val: 1186.53, Rewards Eval: 514.90, Total Timesteps: 55478060 episode:228 

Rewards Tr: 1064.78, Rewards Val: 1092.77, Rewards Eval: 433.14, Total Timesteps: 55867870 episode:229 

Rewards Tr: 1061.89, Rewards Val: 1032.09, Rewards Eval: 558.08, Total Timesteps: 56228440 episode:230 

Rewards Tr: 1000.62, Rewards Val: 1022.72, Rewards Eval: 541.30, Total Timesteps: 56558970 episode:231 

Rewards Tr: 1053.55, Rewards Val: 1063.32, Rewards Eval: 877.39, Total Timesteps: 56922340 episode:232 

Rewards Tr: 1042.88, Rewards Val: 1081.75, Rewards Eval: 676.39, Total Timesteps: 57281050 episode:233 

Rewards Tr: 1049.06, Rewards Val: 1073.78, Rewards Eval: 580.07, Total Timesteps: 57641660 episode:234 

