
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 11.12, Rewards Eval: 0.00, Total Timesteps: 8290 episode:0 
Rewards Tr: 1239.72, Rewards Eval: 1166.80, Total Timesteps: 33656760 episode:253 

Rewards Tr: 1062.05, Rewards Eval: 786.86, Total Timesteps: 33856790 episode:254 

Rewards Tr: 1029.83, Rewards Eval: 671.70, Total Timesteps: 34037900 episode:255 

Rewards Tr: 993.12, Rewards Eval: 821.57, Total Timesteps: 34213880 episode:256 

Rewards Tr: 1093.63, Rewards Eval: 1212.31, Total Timesteps: 34416710 episode:257 

Rewards Tr: 1181.65, Rewards Eval: 1559.22, Total Timesteps: 34636230 episode:258 

Rewards Tr: 1221.84, Rewards Eval: 1570.37, Total Timesteps: 34880810 episode:259 

Rewards Tr: 1271.37, Rewards Eval: 896.28, Total Timesteps: 35118070 episode:260 

Rewards Tr: 1256.35, Rewards Eval: 1089.44, Total Timesteps: 35362090 episode:261 

Rewards Tr: 1044.19, Rewards Eval: 1028.26, Total Timesteps: 35553090 episode:262 

Rewards Tr: 955.84, Rewards Eval: 1048.85, Total Timesteps: 35726190 episode:263 

Rewards Tr: 955.05, Rewards Eval: 793.88, Total Timesteps: 35901420 episode:264 

Rewards Tr: 974.12, Rewards Eval: 1149.60, Total Timesteps: 36078240 episode:265 

Rewards Tr: 1056.56, Rewards Eval: 975.67, Total Timesteps: 36265250 episode:266 

Rewards Tr: 1093.26, Rewards Eval: 810.45, Total Timesteps: 36451040 episode:267 

Rewards Tr: 1150.16, Rewards Eval: 1253.10, Total Timesteps: 36672990 episode:268 

Rewards Tr: 1328.52, Rewards Eval: 1466.87, Total Timesteps: 36907040 episode:269 

Rewards Tr: 1282.51, Rewards Eval: 1653.08, Total Timesteps: 37161380 episode:270 

Rewards Tr: 1476.44, Rewards Eval: 1096.15, Total Timesteps: 37419460 episode:271 

Rewards Tr: 1343.86, Rewards Eval: 863.61, Total Timesteps: 37663680 episode:272 

Rewards Tr: 1200.49, Rewards Eval: 1072.94, Total Timesteps: 37872550 episode:273 

Rewards Tr: 1067.46, Rewards Eval: 1060.53, Total Timesteps: 38065970 episode:274 

Rewards Tr: 897.98, Rewards Eval: 929.35, Total Timesteps: 38216690 episode:275 

Rewards Tr: 947.10, Rewards Eval: 926.40, Total Timesteps: 38385110 episode:276 

Rewards Tr: 1001.45, Rewards Eval: 919.35, Total Timesteps: 38565770 episode:277 

Rewards Tr: 1049.30, Rewards Eval: 967.50, Total Timesteps: 38757330 episode:278 

Rewards Tr: 1061.31, Rewards Eval: 1261.04, Total Timesteps: 38946270 episode:279 

Rewards Tr: 1249.15, Rewards Eval: 1181.46, Total Timesteps: 39172910 episode:280 

Rewards Tr: 1334.02, Rewards Eval: 965.24, Total Timesteps: 39412610 episode:281 

Rewards Tr: 1295.93, Rewards Eval: 1520.96, Total Timesteps: 39631020 episode:282 

Rewards Tr: 1078.61, Rewards Eval: 1051.50, Total Timesteps: 39829480 episode:283 

Rewards Tr: 1046.03, Rewards Eval: 979.83, Total Timesteps: 40012910 episode:284 

Rewards Tr: 1027.84, Rewards Eval: 1299.41, Total Timesteps: 40198400 episode:285 

Rewards Tr: 1037.25, Rewards Eval: 907.92, Total Timesteps: 40383930 episode:286 

Rewards Tr: 1115.05, Rewards Eval: 956.28, Total Timesteps: 40580060 episode:287 

Rewards Tr: 1114.65, Rewards Eval: 949.00, Total Timesteps: 40773900 episode:288 

Rewards Tr: 923.42, Rewards Eval: 987.00, Total Timesteps: 40929470 episode:289 

Rewards Tr: 1042.40, Rewards Eval: 1213.22, Total Timesteps: 41119010 episode:290 

Rewards Tr: 1097.40, Rewards Eval: 1013.23, Total Timesteps: 41322840 episode:291 

