For Seed: 1 

Rewards Tr: 149.32, Rewards Eval: 153.76, Total Timesteps: 29274910 episode:184 

Rewards Tr: 146.94, Rewards Eval: 159.13, Total Timesteps: 29466400 episode:185 

Rewards Tr: 153.75, Rewards Eval: 182.28, Total Timesteps: 29658040 episode:186 

Rewards Tr: 149.91, Rewards Eval: 141.95, Total Timesteps: 29858040 episode:187 

Rewards Tr: 159.17, Rewards Eval: 159.80, Total Timesteps: 30058040 episode:188 

Rewards Tr: 157.82, Rewards Eval: 146.40, Total Timesteps: 30258040 episode:189 

Rewards Tr: 159.94, Rewards Eval: 148.49, Total Timesteps: 30458040 episode:190 

Rewards Tr: 157.20, Rewards Eval: 178.79, Total Timesteps: 30658040 episode:191 

Rewards Tr: 172.58, Rewards Eval: 166.45, Total Timesteps: 30858040 episode:192 

Rewards Tr: 149.98, Rewards Eval: 127.33, Total Timesteps: 31049660 episode:193 

Rewards Tr: 173.35, Rewards Eval: 148.60, Total Timesteps: 31249660 episode:194 

Rewards Tr: 160.25, Rewards Eval: 155.56, Total Timesteps: 31449660 episode:195 

Rewards Tr: 152.73, Rewards Eval: 121.71, Total Timesteps: 31649660 episode:196 

Rewards Tr: 148.55, Rewards Eval: 148.08, Total Timesteps: 31841480 episode:197 

Rewards Tr: 141.12, Rewards Eval: 160.03, Total Timesteps: 32016090 episode:198 

Rewards Tr: 154.75, Rewards Eval: 138.96, Total Timesteps: 32216090 episode:199 

Elapsed Time: 285.9 minutes 

