For Seed: 1 

Rewards Tr: 860.46, Rewards Val: 886.64, Rewards Disc: 0.30, Rewards Eval: 1150.52, Total Timesteps: 16417680 episode:132 

Rewards Tr: 814.18, Rewards Val: 879.82, Rewards Disc: 0.28, Rewards Eval: 945.35, Total Timesteps: 16631940 episode:133 

Rewards Tr: 908.29, Rewards Val: 893.75, Rewards Disc: -0.05, Rewards Eval: 644.49, Total Timesteps: 16880520 episode:134 

Rewards Tr: 815.85, Rewards Val: 863.86, Rewards Disc: 0.14, Rewards Eval: 850.36, Total Timesteps: 17108970 episode:135 

Rewards Tr: 833.13, Rewards Val: 904.58, Rewards Disc: -0.69, Rewards Eval: 814.00, Total Timesteps: 17339270 episode:136 

Rewards Tr: 852.48, Rewards Val: 853.22, Rewards Disc: 0.73, Rewards Eval: 900.54, Total Timesteps: 17561790 episode:137 

Rewards Tr: 848.13, Rewards Val: 869.89, Rewards Disc: 1.07, Rewards Eval: 887.46, Total Timesteps: 17799140 episode:138 

Rewards Tr: 795.18, Rewards Val: 782.78, Rewards Disc: 1.49, Rewards Eval: 809.29, Total Timesteps: 17988580 episode:139 

Rewards Tr: 819.82, Rewards Val: 838.85, Rewards Disc: 0.90, Rewards Eval: 983.90, Total Timesteps: 18205560 episode:140 

Rewards Tr: 823.76, Rewards Val: 822.99, Rewards Disc: 1.17, Rewards Eval: 808.10, Total Timesteps: 18422480 episode:141 

Rewards Tr: 1024.28, Rewards Val: 996.10, Rewards Disc: -1.36, Rewards Eval: 700.11, Total Timesteps: 18710220 episode:142 

Rewards Tr: 993.85, Rewards Val: 985.75, Rewards Disc: -0.77, Rewards Eval: 1011.40, Total Timesteps: 18987550 episode:143 

Rewards Tr: 1012.39, Rewards Val: 1002.43, Rewards Disc: -1.34, Rewards Eval: 1094.86, Total Timesteps: 19265290 episode:144 

Rewards Tr: 1007.15, Rewards Val: 968.98, Rewards Disc: -0.30, Rewards Eval: 864.02, Total Timesteps: 19538550 episode:145 

Rewards Tr: 888.46, Rewards Val: 876.31, Rewards Disc: 0.73, Rewards Eval: 809.86, Total Timesteps: 19780860 episode:146 

Rewards Tr: 822.89, Rewards Val: 870.33, Rewards Disc: 0.33, Rewards Eval: 924.87, Total Timesteps: 19995570 episode:147 

Rewards Tr: 905.39, Rewards Val: 912.20, Rewards Disc: -0.89, Rewards Eval: 1382.39, Total Timesteps: 20229200 episode:148 

Rewards Tr: 1032.95, Rewards Val: 983.94, Rewards Disc: -1.37, Rewards Eval: 990.76, Total Timesteps: 20517350 episode:149 

Rewards Tr: 980.51, Rewards Val: 911.58, Rewards Disc: -0.03, Rewards Eval: 1215.19, Total Timesteps: 20764960 episode:150 

Rewards Tr: 969.07, Rewards Val: 986.71, Rewards Disc: -0.91, Rewards Eval: 773.86, Total Timesteps: 21045330 episode:151 

Rewards Tr: 933.52, Rewards Val: 934.09, Rewards Disc: -0.14, Rewards Eval: 574.15, Total Timesteps: 21291960 episode:152 

Rewards Tr: 969.66, Rewards Val: 1006.84, Rewards Disc: -1.85, Rewards Eval: 711.59, Total Timesteps: 21557130 episode:153 

Rewards Tr: 974.35, Rewards Val: 989.71, Rewards Disc: -2.19, Rewards Eval: 772.80, Total Timesteps: 21832480 episode:154 

Rewards Tr: 921.92, Rewards Val: 916.74, Rewards Disc: -0.31, Rewards Eval: 1054.57, Total Timesteps: 22074390 episode:155 

Rewards Tr: 1001.94, Rewards Val: 992.63, Rewards Disc: -1.75, Rewards Eval: 891.26, Total Timesteps: 22338970 episode:156 

Rewards Tr: 978.24, Rewards Val: 901.97, Rewards Disc: -0.43, Rewards Eval: 903.57, Total Timesteps: 22596850 episode:157 

Rewards Tr: 958.51, Rewards Val: 931.71, Rewards Disc: -0.78, Rewards Eval: 1240.50, Total Timesteps: 22852690 episode:158 

Rewards Tr: 962.16, Rewards Val: 960.73, Rewards Disc: -0.83, Rewards Eval: 708.71, Total Timesteps: 23110170 episode:159 

Rewards Tr: 1025.15, Rewards Val: 1000.11, Rewards Disc: -1.97, Rewards Eval: 1180.91, Total Timesteps: 23381230 episode:160 

Rewards Tr: 941.50, Rewards Val: 946.15, Rewards Disc: -0.58, Rewards Eval: 890.18, Total Timesteps: 23638400 episode:161 

Rewards Tr: 980.75, Rewards Val: 964.94, Rewards Disc: -0.60, Rewards Eval: 1020.72, Total Timesteps: 23900640 episode:162 

Rewards Tr: 958.39, Rewards Val: 1017.36, Rewards Disc: -1.21, Rewards Eval: 853.22, Total Timesteps: 24173200 episode:163 

Rewards Tr: 1051.42, Rewards Val: 1062.33, Rewards Disc: -1.56, Rewards Eval: 1051.00, Total Timesteps: 24457670 episode:164 

Rewards Tr: 976.64, Rewards Val: 1061.62, Rewards Disc: -1.67, Rewards Eval: 616.88, Total Timesteps: 24735570 episode:165 

Rewards Tr: 969.14, Rewards Val: 1012.03, Rewards Disc: -1.30, Rewards Eval: 1117.42, Total Timesteps: 24996980 episode:166 

Rewards Tr: 1064.22, Rewards Val: 1087.86, Rewards Disc: -1.78, Rewards Eval: 1100.05, Total Timesteps: 25318730 episode:167 

Rewards Tr: 1002.74, Rewards Val: 1004.68, Rewards Disc: -0.82, Rewards Eval: 815.09, Total Timesteps: 25602280 episode:168 

Rewards Tr: 986.36, Rewards Val: 982.57, Rewards Disc: -0.46, Rewards Eval: 1209.65, Total Timesteps: 25857800 episode:169 

Rewards Tr: 1039.60, Rewards Val: 1033.17, Rewards Disc: -0.79, Rewards Eval: 874.44, Total Timesteps: 26146350 episode:170 

Rewards Tr: 990.29, Rewards Val: 985.69, Rewards Disc: -0.62, Rewards Eval: 954.08, Total Timesteps: 26404600 episode:171 

Rewards Tr: 989.38, Rewards Val: 974.95, Rewards Disc: -0.51, Rewards Eval: 899.85, Total Timesteps: 26676080 episode:172 

Rewards Tr: 1026.25, Rewards Val: 977.33, Rewards Disc: -0.65, Rewards Eval: 971.76, Total Timesteps: 26943240 episode:173 

Rewards Tr: 1067.19, Rewards Val: 1069.31, Rewards Disc: -1.71, Rewards Eval: 975.73, Total Timesteps: 27239870 episode:174 

Rewards Tr: 1011.42, Rewards Val: 1041.08, Rewards Disc: -1.36, Rewards Eval: 997.12, Total Timesteps: 27522010 episode:175 

Rewards Tr: 1028.76, Rewards Val: 1004.90, Rewards Disc: -0.69, Rewards Eval: 834.45, Total Timesteps: 27803590 episode:176 

Rewards Tr: 928.69, Rewards Val: 912.54, Rewards Disc: 0.62, Rewards Eval: 915.27, Total Timesteps: 28044390 episode:177 

Rewards Tr: 1012.98, Rewards Val: 932.78, Rewards Disc: 0.59, Rewards Eval: 915.66, Total Timesteps: 28316710 episode:178 

Rewards Tr: 1018.45, Rewards Val: 1002.77, Rewards Disc: -0.21, Rewards Eval: 854.96, Total Timesteps: 28592810 episode:179 

Rewards Tr: 1032.55, Rewards Val: 1075.16, Rewards Disc: -1.10, Rewards Eval: 923.01, Total Timesteps: 28886090 episode:180 

Rewards Tr: 1044.17, Rewards Val: 1043.72, Rewards Disc: -0.76, Rewards Eval: 902.28, Total Timesteps: 29170660 episode:181 

Rewards Tr: 1030.57, Rewards Val: 1016.74, Rewards Disc: -1.02, Rewards Eval: 1182.07, Total Timesteps: 29450580 episode:182 

Rewards Tr: 1015.52, Rewards Val: 1068.38, Rewards Disc: -1.10, Rewards Eval: 989.28, Total Timesteps: 29722200 episode:183 

Rewards Tr: 995.49, Rewards Val: 1009.29, Rewards Disc: -0.34, Rewards Eval: 1078.44, Total Timesteps: 29988970 episode:184 

Rewards Tr: 1057.57, Rewards Val: 998.22, Rewards Disc: -0.23, Rewards Eval: 935.58, Total Timesteps: 30259840 episode:185 

