For Seed: 1 

Rewards Tr: 1562.47, Rewards Val: 1656.79, Rewards Eval: 1826.22, Total Timesteps: 34550120 episode:151 

Rewards Tr: 1837.18, Rewards Val: 1855.03, Rewards Eval: 2097.24, Total Timesteps: 34912690 episode:152 

Rewards Tr: 1992.13, Rewards Val: 2084.08, Rewards Eval: 2376.16, Total Timesteps: 35282730 episode:153 

Rewards Tr: 1659.99, Rewards Val: 1581.32, Rewards Eval: 982.00, Total Timesteps: 35627460 episode:154 

Rewards Tr: 1663.03, Rewards Val: 1674.79, Rewards Eval: 2227.10, Total Timesteps: 35965660 episode:155 

Rewards Tr: 1818.16, Rewards Val: 1656.12, Rewards Eval: 1942.49, Total Timesteps: 36281920 episode:156 

Rewards Tr: 1683.94, Rewards Val: 1691.18, Rewards Eval: 2191.64, Total Timesteps: 36632500 episode:157 

Rewards Tr: 1859.94, Rewards Val: 1892.19, Rewards Eval: 1447.59, Total Timesteps: 37006280 episode:158 

Rewards Tr: 1778.46, Rewards Val: 1739.32, Rewards Eval: 1942.93, Total Timesteps: 37343070 episode:159 

Rewards Tr: 1503.14, Rewards Val: 1603.11, Rewards Eval: 1397.32, Total Timesteps: 37709090 episode:160 

Rewards Tr: 1507.86, Rewards Val: 1572.84, Rewards Eval: 1897.67, Total Timesteps: 38055390 episode:161 

Rewards Tr: 1971.18, Rewards Val: 1969.71, Rewards Eval: 1777.11, Total Timesteps: 38425370 episode:162 

Rewards Tr: 1487.57, Rewards Val: 1465.22, Rewards Eval: 1263.54, Total Timesteps: 38741960 episode:163 

Rewards Tr: 1834.59, Rewards Val: 1779.34, Rewards Eval: 1277.75, Total Timesteps: 39108090 episode:164 

Rewards Tr: 1672.65, Rewards Val: 1932.16, Rewards Eval: 2070.35, Total Timesteps: 39470900 episode:165 

Rewards Tr: 1478.49, Rewards Val: 1590.67, Rewards Eval: 2353.27, Total Timesteps: 39801910 episode:166 

Rewards Tr: 1919.94, Rewards Val: 1974.04, Rewards Eval: 1819.09, Total Timesteps: 40154030 episode:167 

