For Seed: 1 

Rewards Tr: 16.69, Rewards Eval: 0.00, Total Timesteps: 9520 episode:0 

Rewards Tr: 1591.50, Rewards Eval: 1308.51, Total Timesteps: 35410700 episode:225 

Rewards Tr: 1729.94, Rewards Eval: 1831.48, Total Timesteps: 35591810 episode:226 

Rewards Tr: 1626.83, Rewards Eval: 1574.53, Total Timesteps: 35775990 episode:227 

Rewards Tr: 1748.53, Rewards Eval: 1830.22, Total Timesteps: 35963990 episode:228 

Rewards Tr: 1800.10, Rewards Eval: 1467.37, Total Timesteps: 36148370 episode:229 

Rewards Tr: 1799.78, Rewards Eval: 2132.44, Total Timesteps: 36336520 episode:230 

Rewards Tr: 1685.05, Rewards Eval: 1896.36, Total Timesteps: 36517870 episode:231 

Rewards Tr: 1667.11, Rewards Eval: 1881.08, Total Timesteps: 36698770 episode:232 

Rewards Tr: 1662.57, Rewards Eval: 1762.56, Total Timesteps: 36879880 episode:233 

Rewards Tr: 1780.56, Rewards Eval: 2040.64, Total Timesteps: 37071740 episode:234 

Rewards Tr: 1934.18, Rewards Eval: 2323.65, Total Timesteps: 37267050 episode:235 

Rewards Tr: 1682.36, Rewards Eval: 1736.45, Total Timesteps: 37445530 episode:236 

Rewards Tr: 1660.50, Rewards Eval: 1350.72, Total Timesteps: 37620530 episode:237 

Rewards Tr: 1809.99, Rewards Eval: 1430.35, Total Timesteps: 37812210 episode:238 

Rewards Tr: 1965.48, Rewards Eval: 1799.20, Total Timesteps: 38011050 episode:239 

Rewards Tr: 1707.72, Rewards Eval: 1609.95, Total Timesteps: 38183350 episode:240 

Rewards Tr: 1696.80, Rewards Eval: 1649.13, Total Timesteps: 38365170 episode:241 

Rewards Tr: 1831.81, Rewards Eval: 1562.35, Total Timesteps: 38555930 episode:242 

Rewards Tr: 1752.38, Rewards Eval: 2297.02, Total Timesteps: 38747280 episode:243 

Rewards Tr: 1759.19, Rewards Eval: 1878.28, Total Timesteps: 38928970 episode:244 

Rewards Tr: 1796.01, Rewards Eval: 1763.03, Total Timesteps: 39112100 episode:245 

Rewards Tr: 1769.47, Rewards Eval: 1828.86, Total Timesteps: 39295610 episode:246 

Rewards Tr: 1670.42, Rewards Eval: 1965.30, Total Timesteps: 39477090 episode:247 

Rewards Tr: 1670.42, Rewards Eval: 1637.00, Total Timesteps: 39660390 episode:248 

Rewards Tr: 1729.33, Rewards Eval: 1104.10, Total Timesteps: 39841900 episode:249 

Elapsed Time: 288.9 minutes 

For Seed: 2 

Rewards Tr: 11.10, Rewards Eval: 0.00, Total Timesteps: 5850 episode:0 

Rewards Tr: 18.96, Rewards Eval: 42.07, Total Timesteps: 13660 episode:1 

Rewards Tr: 29.79, Rewards Eval: 36.89, Total Timesteps: 22730 episode:2 

Rewards Tr: 38.45, Rewards Eval: 53.93, Total Timesteps: 31950 episode:3 

Rewards Tr: 55.06, Rewards Eval: 59.60, Total Timesteps: 43510 episode:4 

Rewards Tr: 61.35, Rewards Eval: 68.50, Total Timesteps: 55680 episode:5 

Rewards Tr: 68.83, Rewards Eval: 101.20, Total Timesteps: 68510 episode:6 

Rewards Tr: 84.12, Rewards Eval: 75.27, Total Timesteps: 84210 episode:7 

Rewards Tr: 96.84, Rewards Eval: 86.47, Total Timesteps: 101620 episode:8 

Rewards Tr: 104.11, Rewards Eval: 124.71, Total Timesteps: 121680 episode:9 

Rewards Tr: 120.76, Rewards Eval: 142.83, Total Timesteps: 142980 episode:10 

Rewards Tr: 129.21, Rewards Eval: 115.91, Total Timesteps: 165070 episode:11 

Rewards Tr: 142.72, Rewards Eval: 161.23, Total Timesteps: 186800 episode:12 

Rewards Tr: 148.54, Rewards Eval: 181.23, Total Timesteps: 208240 episode:13 

Rewards Tr: 164.50, Rewards Eval: 186.02, Total Timesteps: 231070 episode:14 

Rewards Tr: 176.79, Rewards Eval: 197.48, Total Timesteps: 254480 episode:15 

Rewards Tr: 185.12, Rewards Eval: 187.12, Total Timesteps: 277420 episode:16 

Rewards Tr: 191.52, Rewards Eval: 149.52, Total Timesteps: 301100 episode:17 

Rewards Tr: 191.80, Rewards Eval: 211.26, Total Timesteps: 323430 episode:18 

Rewards Tr: 194.55, Rewards Eval: 212.50, Total Timesteps: 345830 episode:19 

Rewards Tr: 206.18, Rewards Eval: 220.33, Total Timesteps: 368970 episode:20 

Rewards Tr: 207.38, Rewards Eval: 214.01, Total Timesteps: 391530 episode:21 

Rewards Tr: 214.96, Rewards Eval: 226.90, Total Timesteps: 414720 episode:22 

Rewards Tr: 225.20, Rewards Eval: 221.94, Total Timesteps: 438790 episode:23 

Rewards Tr: 226.68, Rewards Eval: 223.43, Total Timesteps: 462600 episode:24 

Rewards Tr: 236.33, Rewards Eval: 238.47, Total Timesteps: 486450 episode:25 

Rewards Tr: 242.67, Rewards Eval: 259.24, Total Timesteps: 510780 episode:26 

Rewards Tr: 244.00, Rewards Eval: 246.33, Total Timesteps: 535450 episode:27 

Rewards Tr: 249.13, Rewards Eval: 258.53, Total Timesteps: 559240 episode:28 

Rewards Tr: 254.61, Rewards Eval: 248.73, Total Timesteps: 583290 episode:29 

Rewards Tr: 256.80, Rewards Eval: 236.24, Total Timesteps: 607330 episode:30 

Rewards Tr: 263.44, Rewards Eval: 275.28, Total Timesteps: 631400 episode:31 

Rewards Tr: 266.69, Rewards Eval: 267.92, Total Timesteps: 656130 episode:32 

Rewards Tr: 268.23, Rewards Eval: 287.13, Total Timesteps: 680990 episode:33 

Rewards Tr: 280.83, Rewards Eval: 306.21, Total Timesteps: 706010 episode:34 

Rewards Tr: 282.19, Rewards Eval: 288.50, Total Timesteps: 731440 episode:35 

