
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 11.12, Rewards Eval: 0.00, Total Timesteps: 8580 episode:0 
Rewards Tr: 1286.08, Rewards Eval: 1352.06, Total Timesteps: 24101510 episode:210 

Rewards Tr: 1378.73, Rewards Eval: 1330.07, Total Timesteps: 24370130 episode:211 

Rewards Tr: 1444.76, Rewards Eval: 1403.82, Total Timesteps: 24644700 episode:212 

Rewards Tr: 1374.42, Rewards Eval: 1190.26, Total Timesteps: 24895520 episode:213 

Rewards Tr: 1316.45, Rewards Eval: 1355.78, Total Timesteps: 25157750 episode:214 

Rewards Tr: 1213.33, Rewards Eval: 1534.23, Total Timesteps: 25387710 episode:215 

Rewards Tr: 1362.45, Rewards Eval: 1566.59, Total Timesteps: 25644210 episode:216 

Rewards Tr: 1404.52, Rewards Eval: 1544.92, Total Timesteps: 25911510 episode:217 

Rewards Tr: 1540.57, Rewards Eval: 1400.29, Total Timesteps: 26201720 episode:218 

Rewards Tr: 1551.28, Rewards Eval: 1108.48, Total Timesteps: 26489800 episode:219 

Rewards Tr: 1539.67, Rewards Eval: 1194.40, Total Timesteps: 26762620 episode:220 

Rewards Tr: 1439.04, Rewards Eval: 1088.60, Total Timesteps: 27033790 episode:221 

Rewards Tr: 1295.14, Rewards Eval: 1030.50, Total Timesteps: 27292170 episode:222 

Rewards Tr: 1340.43, Rewards Eval: 1559.56, Total Timesteps: 27542450 episode:223 

Rewards Tr: 1294.22, Rewards Eval: 1093.53, Total Timesteps: 27790160 episode:224 

Rewards Tr: 1353.41, Rewards Eval: 1739.22, Total Timesteps: 28055290 episode:225 

Rewards Tr: 1668.57, Rewards Eval: 1718.27, Total Timesteps: 28351810 episode:226 

Rewards Tr: 1646.79, Rewards Eval: 2291.69, Total Timesteps: 28651010 episode:227 

Rewards Tr: 1734.05, Rewards Eval: 1744.58, Total Timesteps: 28948500 episode:228 

Rewards Tr: 1648.42, Rewards Eval: 1242.87, Total Timesteps: 29237620 episode:229 

Rewards Tr: 1424.60, Rewards Eval: 1516.45, Total Timesteps: 29511770 episode:230 

Rewards Tr: 1406.86, Rewards Eval: 1350.15, Total Timesteps: 29778960 episode:231 

Rewards Tr: 1236.99, Rewards Eval: 919.92, Total Timesteps: 30006090 episode:232 

