For Seed: 1 

Rewards Tr: 1306.27, Rewards Disc: 0.79, Rewards Eval: 1093.25, Total Timesteps: 21127470 episode:184 

Rewards Tr: 1460.85, Rewards Disc: 0.79, Rewards Eval: 1524.35, Total Timesteps: 21307450 episode:185 

Rewards Tr: 1493.31, Rewards Disc: 0.79, Rewards Eval: 1039.78, Total Timesteps: 21480340 episode:186 

Rewards Tr: 1596.38, Rewards Disc: 0.79, Rewards Eval: 1572.92, Total Timesteps: 21663940 episode:187 

Rewards Tr: 1585.68, Rewards Disc: 0.80, Rewards Eval: 978.60, Total Timesteps: 21852600 episode:188 

Rewards Tr: 1481.88, Rewards Disc: 0.81, Rewards Eval: 1084.44, Total Timesteps: 22026880 episode:189 

Rewards Tr: 1608.82, Rewards Disc: 0.83, Rewards Eval: 1243.89, Total Timesteps: 22208870 episode:190 

Rewards Tr: 1644.29, Rewards Disc: 0.77, Rewards Eval: 981.27, Total Timesteps: 22395100 episode:191 

Rewards Tr: 1658.70, Rewards Disc: 0.78, Rewards Eval: 1224.55, Total Timesteps: 22576730 episode:192 

Rewards Tr: 1637.23, Rewards Disc: 0.76, Rewards Eval: 993.84, Total Timesteps: 22751150 episode:193 

Rewards Tr: 1495.23, Rewards Disc: 0.83, Rewards Eval: 967.46, Total Timesteps: 22920480 episode:194 

Rewards Tr: 1597.10, Rewards Disc: 0.82, Rewards Eval: 1092.63, Total Timesteps: 23100040 episode:195 

Rewards Tr: 1412.15, Rewards Disc: 0.79, Rewards Eval: 1278.01, Total Timesteps: 23259260 episode:196 

Rewards Tr: 1576.33, Rewards Disc: 0.78, Rewards Eval: 1271.18, Total Timesteps: 23434430 episode:197 

Rewards Tr: 1598.20, Rewards Disc: 0.80, Rewards Eval: 1055.61, Total Timesteps: 23609450 episode:198 

Rewards Tr: 1517.38, Rewards Disc: 0.79, Rewards Eval: 1460.34, Total Timesteps: 23782300 episode:199 

Rewards Tr: 1495.79, Rewards Disc: 0.81, Rewards Eval: 1275.26, Total Timesteps: 23957400 episode:200 

Rewards Tr: 1615.00, Rewards Disc: 0.80, Rewards Eval: 1189.35, Total Timesteps: 24143470 episode:201 

Rewards Tr: 1572.33, Rewards Disc: 0.79, Rewards Eval: 1376.90, Total Timesteps: 24328770 episode:202 

Rewards Tr: 1453.56, Rewards Disc: 0.76, Rewards Eval: 1471.23, Total Timesteps: 24484330 episode:203 

Rewards Tr: 1608.94, Rewards Disc: 0.77, Rewards Eval: 1364.43, Total Timesteps: 24661080 episode:204 

Rewards Tr: 1638.03, Rewards Disc: 0.79, Rewards Eval: 1052.66, Total Timesteps: 24837190 episode:205 

Rewards Tr: 1674.15, Rewards Disc: 0.76, Rewards Eval: 1254.55, Total Timesteps: 25014250 episode:206 

Rewards Tr: 1564.36, Rewards Disc: 0.76, Rewards Eval: 1213.82, Total Timesteps: 25181790 episode:207 

Rewards Tr: 1625.26, Rewards Disc: 0.78, Rewards Eval: 1298.17, Total Timesteps: 25359480 episode:208 

Rewards Tr: 1557.29, Rewards Disc: 0.77, Rewards Eval: 1314.83, Total Timesteps: 25543520 episode:209 

Rewards Tr: 1596.68, Rewards Disc: 0.80, Rewards Eval: 1321.08, Total Timesteps: 25721510 episode:210 

Rewards Tr: 1468.81, Rewards Disc: 0.78, Rewards Eval: 1234.79, Total Timesteps: 25878860 episode:211 

