For Seed: 3 

Rewards Tr: -149.43, Rewards Eval: -132.57, Total Timesteps: 100000 episode:0 
Rewards Tr: 1229.12, Rewards Eval: 1252.45, Total Timesteps: 16300000 episode:162 

Rewards Tr: 1221.14, Rewards Eval: 1223.46, Total Timesteps: 16400000 episode:163 

Rewards Tr: 1227.25, Rewards Eval: 1264.65, Total Timesteps: 16500000 episode:164 

Rewards Tr: 1226.97, Rewards Eval: 1217.96, Total Timesteps: 16600000 episode:165 

Rewards Tr: 1237.80, Rewards Eval: 1218.33, Total Timesteps: 16700000 episode:166 

Rewards Tr: 1227.89, Rewards Eval: 1216.91, Total Timesteps: 16800000 episode:167 

Rewards Tr: 1230.84, Rewards Eval: 1240.91, Total Timesteps: 16900000 episode:168 

Rewards Tr: 1230.90, Rewards Eval: 1213.61, Total Timesteps: 17000000 episode:169 

Rewards Tr: 1241.45, Rewards Eval: 1205.51, Total Timesteps: 17100000 episode:170 

Rewards Tr: 1234.58, Rewards Eval: 1181.48, Total Timesteps: 17200000 episode:171 

Rewards Tr: 1237.40, Rewards Eval: 1245.48, Total Timesteps: 17300000 episode:172 

Rewards Tr: 1229.06, Rewards Eval: 1228.23, Total Timesteps: 17400000 episode:173 

Rewards Tr: 1229.42, Rewards Eval: 1225.43, Total Timesteps: 17500000 episode:174 

Rewards Tr: 1236.78, Rewards Eval: 1215.90, Total Timesteps: 17600000 episode:175 

Rewards Tr: 1227.66, Rewards Eval: 1243.58, Total Timesteps: 17700000 episode:176 

Rewards Tr: 1226.83, Rewards Eval: 1258.83, Total Timesteps: 17800000 episode:177 

Rewards Tr: 1223.87, Rewards Eval: 1204.03, Total Timesteps: 17900000 episode:178 

Rewards Tr: 1214.25, Rewards Eval: 1201.84, Total Timesteps: 18000000 episode:179 

Rewards Tr: 1224.54, Rewards Eval: 1229.53, Total Timesteps: 18100000 episode:180 

Rewards Tr: 1228.79, Rewards Eval: 1249.23, Total Timesteps: 18200000 episode:181 

Rewards Tr: 1224.63, Rewards Eval: 1252.86, Total Timesteps: 18300000 episode:182 

Rewards Tr: 1227.95, Rewards Eval: 1195.44, Total Timesteps: 18400000 episode:183 

Rewards Tr: 1227.46, Rewards Eval: 1237.09, Total Timesteps: 18500000 episode:184 

Rewards Tr: 1230.10, Rewards Eval: 1223.42, Total Timesteps: 18600000 episode:185 

Rewards Tr: 1222.59, Rewards Eval: 1202.94, Total Timesteps: 18700000 episode:186 

Rewards Tr: 1217.76, Rewards Eval: 1249.37, Total Timesteps: 18800000 episode:187 

Rewards Tr: 1219.45, Rewards Eval: 1225.42, Total Timesteps: 18900000 episode:188 

Rewards Tr: 1219.88, Rewards Eval: 1189.09, Total Timesteps: 19000000 episode:189 

Rewards Tr: 1212.64, Rewards Eval: 1212.74, Total Timesteps: 19100000 episode:190 

Rewards Tr: 1225.36, Rewards Eval: 1222.40, Total Timesteps: 19200000 episode:191 

Rewards Tr: 1219.01, Rewards Eval: 1244.91, Total Timesteps: 19300000 episode:192 

Rewards Tr: 1228.07, Rewards Eval: 1240.89, Total Timesteps: 19400000 episode:193 

Rewards Tr: 1232.26, Rewards Eval: 1258.62, Total Timesteps: 19500000 episode:194 

Rewards Tr: 1230.12, Rewards Eval: 1219.14, Total Timesteps: 19600000 episode:195 

Rewards Tr: 1233.60, Rewards Eval: 1232.38, Total Timesteps: 19700000 episode:196 

Rewards Tr: 1232.61, Rewards Eval: 1229.99, Total Timesteps: 19800000 episode:197 

Rewards Tr: 1227.72, Rewards Eval: 1255.42, Total Timesteps: 19900000 episode:198 

Rewards Tr: 1230.57, Rewards Eval: 1240.15, Total Timesteps: 20000000 episode:199 

Rewards Tr: 1232.62, Rewards Eval: 1211.45, Total Timesteps: 20100000 episode:200 

Rewards Tr: 1230.94, Rewards Eval: 1251.01, Total Timesteps: 20200000 episode:201 

Rewards Tr: 1230.19, Rewards Eval: 1199.47, Total Timesteps: 20300000 episode:202 

Rewards Tr: 1232.57, Rewards Eval: 1255.14, Total Timesteps: 20400000 episode:203 

Rewards Tr: 1233.19, Rewards Eval: 1242.53, Total Timesteps: 20500000 episode:204 

Rewards Tr: 1231.96, Rewards Eval: 1254.08, Total Timesteps: 20600000 episode:205 

Rewards Tr: 1232.84, Rewards Eval: 1233.45, Total Timesteps: 20700000 episode:206 

Rewards Tr: 1238.97, Rewards Eval: 1261.90, Total Timesteps: 20800000 episode:207 

Rewards Tr: 1237.42, Rewards Eval: 1248.06, Total Timesteps: 20900000 episode:208 

Rewards Tr: 1244.97, Rewards Eval: 1237.36, Total Timesteps: 21000000 episode:209 

Rewards Tr: 1239.89, Rewards Eval: 1253.73, Total Timesteps: 21100000 episode:210 

Rewards Tr: 1242.46, Rewards Eval: 1226.24, Total Timesteps: 21200000 episode:211 

Rewards Tr: 1239.58, Rewards Eval: 1237.43, Total Timesteps: 21300000 episode:212 

Rewards Tr: 1236.17, Rewards Eval: 1263.68, Total Timesteps: 21400000 episode:213 

Rewards Tr: 1243.60, Rewards Eval: 1244.33, Total Timesteps: 21500000 episode:214 

