For Seed: 3 

Rewards Tr: -158.97, Rewards Val: -157.82, Rewards Disc: 0.51, Rewards Eval: -146.83, Total Timesteps: 250000 episode:0 
Rewards Tr: 805.70, Rewards Val: 785.79, Rewards Disc: 0.57, Rewards Eval: 712.84, Total Timesteps: 39000000 episode:155 

Rewards Tr: 810.96, Rewards Val: 779.54, Rewards Disc: 0.56, Rewards Eval: 738.38, Total Timesteps: 39250000 episode:156 

Rewards Tr: 838.77, Rewards Val: 797.03, Rewards Disc: 0.57, Rewards Eval: 464.26, Total Timesteps: 39500000 episode:157 

Rewards Tr: 806.16, Rewards Val: 783.73, Rewards Disc: 0.56, Rewards Eval: 726.98, Total Timesteps: 39750000 episode:158 

Rewards Tr: 800.62, Rewards Val: 790.41, Rewards Disc: 0.56, Rewards Eval: 951.10, Total Timesteps: 40000000 episode:159 

Rewards Tr: 772.69, Rewards Val: 804.42, Rewards Disc: 0.55, Rewards Eval: 642.93, Total Timesteps: 40250000 episode:160 

Rewards Tr: 787.98, Rewards Val: 819.09, Rewards Disc: 0.55, Rewards Eval: 843.70, Total Timesteps: 40500000 episode:161 

Rewards Tr: 789.58, Rewards Val: 812.50, Rewards Disc: 0.56, Rewards Eval: 715.57, Total Timesteps: 40750000 episode:162 

Rewards Tr: 789.59, Rewards Val: 796.67, Rewards Disc: 0.54, Rewards Eval: 688.79, Total Timesteps: 41000000 episode:163 

Rewards Tr: 763.55, Rewards Val: 762.22, Rewards Disc: 0.55, Rewards Eval: 710.93, Total Timesteps: 41250000 episode:164 

Rewards Tr: 803.98, Rewards Val: 763.58, Rewards Disc: 0.58, Rewards Eval: 672.86, Total Timesteps: 41500000 episode:165 

Rewards Tr: 795.89, Rewards Val: 757.15, Rewards Disc: 0.56, Rewards Eval: 669.53, Total Timesteps: 41750000 episode:166 

Rewards Tr: 771.92, Rewards Val: 764.47, Rewards Disc: 0.58, Rewards Eval: 896.69, Total Timesteps: 42000000 episode:167 

Rewards Tr: 768.53, Rewards Val: 735.09, Rewards Disc: 0.54, Rewards Eval: 739.81, Total Timesteps: 42250000 episode:168 

Rewards Tr: 771.72, Rewards Val: 730.03, Rewards Disc: 0.56, Rewards Eval: 781.79, Total Timesteps: 42500000 episode:169 

Rewards Tr: 787.88, Rewards Val: 744.92, Rewards Disc: 0.56, Rewards Eval: 730.68, Total Timesteps: 42750000 episode:170 

Rewards Tr: 735.11, Rewards Val: 816.87, Rewards Disc: 0.56, Rewards Eval: 724.21, Total Timesteps: 43000000 episode:171 

Rewards Tr: 771.97, Rewards Val: 789.05, Rewards Disc: 0.55, Rewards Eval: 636.53, Total Timesteps: 43250000 episode:172 

Rewards Tr: 798.46, Rewards Val: 794.28, Rewards Disc: 0.57, Rewards Eval: 927.32, Total Timesteps: 43500000 episode:173 

Rewards Tr: 844.03, Rewards Val: 850.08, Rewards Disc: 0.58, Rewards Eval: 951.20, Total Timesteps: 43750000 episode:174 

Rewards Tr: 800.67, Rewards Val: 803.30, Rewards Disc: 0.55, Rewards Eval: 833.26, Total Timesteps: 44000000 episode:175 

Rewards Tr: 856.77, Rewards Val: 838.68, Rewards Disc: 0.58, Rewards Eval: 745.49, Total Timesteps: 44250000 episode:176 

Rewards Tr: 815.40, Rewards Val: 866.14, Rewards Disc: 0.58, Rewards Eval: 859.84, Total Timesteps: 44500000 episode:177 

Rewards Tr: 852.72, Rewards Val: 848.58, Rewards Disc: 0.57, Rewards Eval: 930.33, Total Timesteps: 44750000 episode:178 

Rewards Tr: 849.23, Rewards Val: 821.16, Rewards Disc: 0.58, Rewards Eval: 747.26, Total Timesteps: 45000000 episode:179 

Rewards Tr: 845.19, Rewards Val: 831.61, Rewards Disc: 0.57, Rewards Eval: 712.96, Total Timesteps: 45250000 episode:180 

Rewards Tr: 819.01, Rewards Val: 814.01, Rewards Disc: 0.57, Rewards Eval: 882.35, Total Timesteps: 45500000 episode:181 

Rewards Tr: 812.48, Rewards Val: 801.91, Rewards Disc: 0.56, Rewards Eval: 866.57, Total Timesteps: 45750000 episode:182 

Rewards Tr: 825.61, Rewards Val: 813.09, Rewards Disc: 0.57, Rewards Eval: 853.24, Total Timesteps: 46000000 episode:183 

Rewards Tr: 830.59, Rewards Val: 808.08, Rewards Disc: 0.56, Rewards Eval: 602.37, Total Timesteps: 46250000 episode:184 

Rewards Tr: 822.15, Rewards Val: 805.58, Rewards Disc: 0.58, Rewards Eval: 760.85, Total Timesteps: 46500000 episode:185 

Rewards Tr: 854.51, Rewards Val: 830.90, Rewards Disc: 0.57, Rewards Eval: 526.50, Total Timesteps: 46750000 episode:186 

Rewards Tr: 856.27, Rewards Val: 832.03, Rewards Disc: 0.57, Rewards Eval: 776.93, Total Timesteps: 47000000 episode:187 

Rewards Tr: 832.75, Rewards Val: 847.78, Rewards Disc: 0.58, Rewards Eval: 597.30, Total Timesteps: 47250000 episode:188 

Rewards Tr: 886.68, Rewards Val: 854.16, Rewards Disc: 0.55, Rewards Eval: 628.47, Total Timesteps: 47500000 episode:189 

Rewards Tr: 865.98, Rewards Val: 886.53, Rewards Disc: 0.55, Rewards Eval: 920.70, Total Timesteps: 47750000 episode:190 

Rewards Tr: 851.52, Rewards Val: 836.15, Rewards Disc: 0.58, Rewards Eval: 806.89, Total Timesteps: 48000000 episode:191 

