
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 101 

Rewards Tr: 157.94, Rewards Eval: 180.32, Total Timesteps: 37146520 episode:169 

Rewards Tr: 153.11, Rewards Eval: 154.08, Total Timesteps: 37421290 episode:170 

Rewards Tr: 164.74, Rewards Eval: 162.35, Total Timesteps: 37721290 episode:171 

Rewards Tr: 159.23, Rewards Eval: 151.88, Total Timesteps: 38004740 episode:172 

Rewards Tr: 157.78, Rewards Eval: 142.67, Total Timesteps: 38296430 episode:173 

Rewards Tr: 160.71, Rewards Eval: 174.29, Total Timesteps: 38596430 episode:174 

Rewards Tr: 155.27, Rewards Eval: 159.86, Total Timesteps: 38879640 episode:175 

Rewards Tr: 154.38, Rewards Eval: 187.47, Total Timesteps: 39154350 episode:176 

Rewards Tr: 157.15, Rewards Eval: 173.51, Total Timesteps: 39437610 episode:177 

Rewards Tr: 154.79, Rewards Eval: 122.45, Total Timesteps: 39729080 episode:178 

Rewards Tr: 155.00, Rewards Eval: 148.19, Total Timesteps: 40011930 episode:179 

Rewards Tr: 161.63, Rewards Eval: 147.13, Total Timesteps: 40311930 episode:180 

Rewards Tr: 156.62, Rewards Eval: 166.95, Total Timesteps: 40595180 episode:181 

Rewards Tr: 168.05, Rewards Eval: 169.86, Total Timesteps: 40895180 episode:182 

Rewards Tr: 150.86, Rewards Eval: 154.40, Total Timesteps: 41186970 episode:183 

Rewards Tr: 165.75, Rewards Eval: 152.79, Total Timesteps: 41478380 episode:184 

Rewards Tr: 163.44, Rewards Eval: 152.46, Total Timesteps: 41769810 episode:185 

Rewards Tr: 167.40, Rewards Eval: 148.10, Total Timesteps: 42069810 episode:186 

Rewards Tr: 164.13, Rewards Eval: 192.27, Total Timesteps: 42369810 episode:187 

Rewards Tr: 153.69, Rewards Eval: 160.14, Total Timesteps: 42653470 episode:188 

Rewards Tr: 163.46, Rewards Eval: 139.55, Total Timesteps: 42953470 episode:189 

Rewards Tr: 153.25, Rewards Eval: 185.33, Total Timesteps: 43245240 episode:190 

Rewards Tr: 161.83, Rewards Eval: 170.09, Total Timesteps: 43545240 episode:191 

Rewards Tr: 159.90, Rewards Eval: 144.26, Total Timesteps: 43830800 episode:192 

Rewards Tr: 163.21, Rewards Eval: 158.84, Total Timesteps: 44122330 episode:193 

Rewards Tr: 164.28, Rewards Eval: 148.29, Total Timesteps: 44422330 episode:194 

Rewards Tr: 154.57, Rewards Eval: 153.27, Total Timesteps: 44705410 episode:195 

Rewards Tr: 160.81, Rewards Eval: 189.76, Total Timesteps: 44996970 episode:196 

Rewards Tr: 157.23, Rewards Eval: 148.37, Total Timesteps: 45279960 episode:197 

Rewards Tr: 174.18, Rewards Eval: 166.95, Total Timesteps: 45579960 episode:198 

Rewards Tr: 159.07, Rewards Eval: 173.20, Total Timesteps: 45862980 episode:199 

Rewards Tr: 165.25, Rewards Eval: 172.83, Total Timesteps: 46162980 episode:200 

Rewards Tr: 168.10, Rewards Eval: 158.73, Total Timesteps: 46462980 episode:201 

Rewards Tr: 163.35, Rewards Eval: 105.79, Total Timesteps: 46754650 episode:202 

Rewards Tr: 169.34, Rewards Eval: 208.40, Total Timesteps: 47054650 episode:203 

Rewards Tr: 163.69, Rewards Eval: 138.32, Total Timesteps: 47354650 episode:204 

Rewards Tr: 169.56, Rewards Eval: 174.18, Total Timesteps: 47646330 episode:205 

Rewards Tr: 169.36, Rewards Eval: 135.03, Total Timesteps: 47937820 episode:206 

Rewards Tr: 162.83, Rewards Eval: 173.35, Total Timesteps: 48203810 episode:207 

Rewards Tr: 172.20, Rewards Eval: 131.84, Total Timesteps: 48503810 episode:208 

Rewards Tr: 169.62, Rewards Eval: 176.30, Total Timesteps: 48795350 episode:209 

Rewards Tr: 157.19, Rewards Eval: 169.70, Total Timesteps: 49086990 episode:210 

Rewards Tr: 155.19, Rewards Eval: 165.61, Total Timesteps: 49370000 episode:211 

Rewards Tr: 157.00, Rewards Eval: 191.30, Total Timesteps: 49644710 episode:212 

Rewards Tr: 169.89, Rewards Eval: 186.66, Total Timesteps: 49944710 episode:213 

Rewards Tr: 163.36, Rewards Eval: 157.96, Total Timesteps: 50227480 episode:214 

Rewards Tr: 151.14, Rewards Eval: 162.07, Total Timesteps: 50502220 episode:215 

Rewards Tr: 156.42, Rewards Eval: 147.82, Total Timesteps: 50785070 episode:216 

Rewards Tr: 172.89, Rewards Eval: 175.90, Total Timesteps: 51085070 episode:217 

Rewards Tr: 162.89, Rewards Eval: 132.52, Total Timesteps: 51379210 episode:218 

Rewards Tr: 164.59, Rewards Eval: 122.26, Total Timesteps: 51679210 episode:219 

Rewards Tr: 170.09, Rewards Eval: 171.69, Total Timesteps: 51979210 episode:220 

Rewards Tr: 159.36, Rewards Eval: 171.46, Total Timesteps: 52279210 episode:221 

Rewards Tr: 164.68, Rewards Eval: 131.96, Total Timesteps: 52570660 episode:222 

Rewards Tr: 167.50, Rewards Eval: 154.06, Total Timesteps: 52853840 episode:223 

Rewards Tr: 160.03, Rewards Eval: 130.84, Total Timesteps: 53153840 episode:224 

Rewards Tr: 164.59, Rewards Eval: 166.07, Total Timesteps: 53453840 episode:225 

Rewards Tr: 171.09, Rewards Eval: 159.12, Total Timesteps: 53753840 episode:226 

Rewards Tr: 169.28, Rewards Eval: 151.21, Total Timesteps: 54053840 episode:227 

Rewards Tr: 164.45, Rewards Eval: 156.77, Total Timesteps: 54345310 episode:228 

Rewards Tr: 171.28, Rewards Eval: 140.62, Total Timesteps: 54645310 episode:229 

Rewards Tr: 165.34, Rewards Eval: 191.09, Total Timesteps: 54945310 episode:230 

Rewards Tr: 170.75, Rewards Eval: 167.87, Total Timesteps: 55245310 episode:231 

Rewards Tr: 165.84, Rewards Eval: 175.90, Total Timesteps: 55536950 episode:232 

Rewards Tr: 170.49, Rewards Eval: 140.28, Total Timesteps: 55836950 episode:233 

Rewards Tr: 173.50, Rewards Eval: 169.50, Total Timesteps: 56136950 episode:234 

Rewards Tr: 160.51, Rewards Eval: 154.25, Total Timesteps: 56420160 episode:235 

Rewards Tr: 165.66, Rewards Eval: 169.73, Total Timesteps: 56720160 episode:236 

Rewards Tr: 154.95, Rewards Eval: 144.34, Total Timesteps: 56994800 episode:237 

Rewards Tr: 157.36, Rewards Eval: 173.20, Total Timesteps: 57277870 episode:238 

Rewards Tr: 147.90, Rewards Eval: 142.65, Total Timesteps: 57552390 episode:239 

Rewards Tr: 165.67, Rewards Eval: 165.58, Total Timesteps: 57843860 episode:240 

Rewards Tr: 163.73, Rewards Eval: 145.40, Total Timesteps: 58135220 episode:241 

Rewards Tr: 164.68, Rewards Eval: 157.95, Total Timesteps: 58435220 episode:242 

Rewards Tr: 171.94, Rewards Eval: 133.69, Total Timesteps: 58735220 episode:243 

Rewards Tr: 173.54, Rewards Eval: 156.15, Total Timesteps: 59035220 episode:244 

