
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 10 

Rewards Tr: 186.59, Rewards Eval: 191.23, Total Timesteps: 72278720 episode:256 

Rewards Tr: 185.51, Rewards Eval: 197.97, Total Timesteps: 72578720 episode:257 

Rewards Tr: 184.92, Rewards Eval: 184.41, Total Timesteps: 72878720 episode:258 

Rewards Tr: 186.31, Rewards Eval: 167.42, Total Timesteps: 73178720 episode:259 

Rewards Tr: 182.87, Rewards Eval: 167.06, Total Timesteps: 73478720 episode:260 

Rewards Tr: 185.17, Rewards Eval: 188.64, Total Timesteps: 73778720 episode:261 

Rewards Tr: 185.38, Rewards Eval: 193.68, Total Timesteps: 74078720 episode:262 

Rewards Tr: 187.62, Rewards Eval: 192.40, Total Timesteps: 74378720 episode:263 

Rewards Tr: 186.34, Rewards Eval: 182.16, Total Timesteps: 74678720 episode:264 

Rewards Tr: 186.52, Rewards Eval: 192.78, Total Timesteps: 74978720 episode:265 

Rewards Tr: 183.22, Rewards Eval: 213.34, Total Timesteps: 75278720 episode:266 

Rewards Tr: 184.87, Rewards Eval: 211.41, Total Timesteps: 75578720 episode:267 

Rewards Tr: 185.77, Rewards Eval: 179.30, Total Timesteps: 75878720 episode:268 

Rewards Tr: 189.11, Rewards Eval: 179.28, Total Timesteps: 76178720 episode:269 

Rewards Tr: 185.76, Rewards Eval: 198.14, Total Timesteps: 76478720 episode:270 

Rewards Tr: 186.83, Rewards Eval: 184.41, Total Timesteps: 76778720 episode:271 

Rewards Tr: 186.51, Rewards Eval: 165.12, Total Timesteps: 77078720 episode:272 

Rewards Tr: 185.78, Rewards Eval: 186.60, Total Timesteps: 77378720 episode:273 

Rewards Tr: 187.78, Rewards Eval: 191.16, Total Timesteps: 77678720 episode:274 

Rewards Tr: 186.66, Rewards Eval: 182.98, Total Timesteps: 77978720 episode:275 

Rewards Tr: 186.07, Rewards Eval: 205.80, Total Timesteps: 78278720 episode:276 

Rewards Tr: 189.19, Rewards Eval: 179.53, Total Timesteps: 78578720 episode:277 

Rewards Tr: 187.09, Rewards Eval: 166.14, Total Timesteps: 78878720 episode:278 

Rewards Tr: 187.72, Rewards Eval: 207.86, Total Timesteps: 79178720 episode:279 

Rewards Tr: 185.37, Rewards Eval: 175.54, Total Timesteps: 79478720 episode:280 

Rewards Tr: 185.48, Rewards Eval: 199.22, Total Timesteps: 79778720 episode:281 

Rewards Tr: 186.15, Rewards Eval: 192.52, Total Timesteps: 80078720 episode:282 

Rewards Tr: 184.00, Rewards Eval: 227.36, Total Timesteps: 80378720 episode:283 

Rewards Tr: 186.54, Rewards Eval: 173.12, Total Timesteps: 80678720 episode:284 

Rewards Tr: 187.03, Rewards Eval: 165.74, Total Timesteps: 80978720 episode:285 

Rewards Tr: 190.14, Rewards Eval: 182.34, Total Timesteps: 81278720 episode:286 

Rewards Tr: 187.34, Rewards Eval: 144.13, Total Timesteps: 81578720 episode:287 

Rewards Tr: 184.59, Rewards Eval: 187.09, Total Timesteps: 81878720 episode:288 

Rewards Tr: 186.92, Rewards Eval: 214.74, Total Timesteps: 82178720 episode:289 

Rewards Tr: 187.31, Rewards Eval: 176.69, Total Timesteps: 82478720 episode:290 

Rewards Tr: 186.11, Rewards Eval: 205.52, Total Timesteps: 82778720 episode:291 

Rewards Tr: 187.65, Rewards Eval: 200.70, Total Timesteps: 83078720 episode:292 

Rewards Tr: 186.93, Rewards Eval: 191.73, Total Timesteps: 83378720 episode:293 

Rewards Tr: 186.06, Rewards Eval: 191.27, Total Timesteps: 83678720 episode:294 

Rewards Tr: 186.30, Rewards Eval: 203.15, Total Timesteps: 83978720 episode:295 

Rewards Tr: 187.49, Rewards Eval: 190.08, Total Timesteps: 84278720 episode:296 

Rewards Tr: 183.97, Rewards Eval: 184.78, Total Timesteps: 84578720 episode:297 

Rewards Tr: 186.45, Rewards Eval: 172.34, Total Timesteps: 84878720 episode:298 

