For Seed: 1 

Rewards Tr: 1531.04, Rewards Disc: 0.91, Rewards Eval: 1731.55, Total Timesteps: 20807250 episode:166 

Rewards Tr: 1211.30, Rewards Disc: 0.92, Rewards Eval: 1466.75, Total Timesteps: 20952510 episode:167 

Rewards Tr: 1247.77, Rewards Disc: 0.90, Rewards Eval: 1814.12, Total Timesteps: 21106830 episode:168 

Rewards Tr: 1206.13, Rewards Disc: 0.91, Rewards Eval: 973.66, Total Timesteps: 21248330 episode:169 

Rewards Tr: 1261.76, Rewards Disc: 0.89, Rewards Eval: 1200.79, Total Timesteps: 21399170 episode:170 

Rewards Tr: 1027.60, Rewards Disc: 0.91, Rewards Eval: 944.85, Total Timesteps: 21510140 episode:171 

Rewards Tr: 1117.64, Rewards Disc: 0.91, Rewards Eval: 1164.38, Total Timesteps: 21621070 episode:172 

Rewards Tr: 1253.82, Rewards Disc: 0.90, Rewards Eval: 1067.00, Total Timesteps: 21757280 episode:173 

Rewards Tr: 1223.07, Rewards Disc: 0.91, Rewards Eval: 1193.17, Total Timesteps: 21899830 episode:174 

Rewards Tr: 1231.41, Rewards Disc: 0.90, Rewards Eval: 953.41, Total Timesteps: 22045860 episode:175 

Rewards Tr: 1183.78, Rewards Disc: 0.91, Rewards Eval: 1287.19, Total Timesteps: 22178450 episode:176 

Rewards Tr: 1396.34, Rewards Disc: 0.89, Rewards Eval: 1454.86, Total Timesteps: 22339600 episode:177 

Rewards Tr: 1337.25, Rewards Disc: 0.90, Rewards Eval: 1549.69, Total Timesteps: 22490370 episode:178 

Rewards Tr: 1411.51, Rewards Disc: 0.90, Rewards Eval: 1222.14, Total Timesteps: 22649910 episode:179 

Rewards Tr: 1077.60, Rewards Disc: 0.91, Rewards Eval: 1799.51, Total Timesteps: 22765790 episode:180 

Rewards Tr: 1500.23, Rewards Disc: 0.91, Rewards Eval: 1365.97, Total Timesteps: 22937910 episode:181 

Rewards Tr: 1256.94, Rewards Disc: 0.91, Rewards Eval: 932.75, Total Timesteps: 23086050 episode:182 

Rewards Tr: 1041.42, Rewards Disc: 0.93, Rewards Eval: 1571.13, Total Timesteps: 23199220 episode:183 

Rewards Tr: 1189.05, Rewards Disc: 0.92, Rewards Eval: 1030.81, Total Timesteps: 23319540 episode:184 

Rewards Tr: 1298.75, Rewards Disc: 0.93, Rewards Eval: 1417.70, Total Timesteps: 23469350 episode:185 

Rewards Tr: 1308.80, Rewards Disc: 0.92, Rewards Eval: 1497.40, Total Timesteps: 23617210 episode:186 

Rewards Tr: 1309.89, Rewards Disc: 0.92, Rewards Eval: 1381.00, Total Timesteps: 23777410 episode:187 

Rewards Tr: 1398.63, Rewards Disc: 0.93, Rewards Eval: 1379.51, Total Timesteps: 23946770 episode:188 

Rewards Tr: 1416.15, Rewards Disc: 0.92, Rewards Eval: 1586.71, Total Timesteps: 24117730 episode:189 

Rewards Tr: 1184.31, Rewards Disc: 0.93, Rewards Eval: 909.78, Total Timesteps: 24250340 episode:190 

Rewards Tr: 1152.32, Rewards Disc: 0.92, Rewards Eval: 860.76, Total Timesteps: 24381540 episode:191 

Rewards Tr: 1268.40, Rewards Disc: 0.85, Rewards Eval: 2289.63, Total Timesteps: 24524260 episode:192 

Rewards Tr: 1321.48, Rewards Disc: 0.92, Rewards Eval: 1220.93, Total Timesteps: 24675870 episode:193 

Rewards Tr: 1423.12, Rewards Disc: 0.91, Rewards Eval: 1371.79, Total Timesteps: 24842060 episode:194 

Rewards Tr: 1461.67, Rewards Disc: 0.93, Rewards Eval: 1774.41, Total Timesteps: 25006470 episode:195 

Rewards Tr: 1435.13, Rewards Disc: 0.92, Rewards Eval: 1425.35, Total Timesteps: 25177140 episode:196 

Rewards Tr: 1376.84, Rewards Disc: 0.91, Rewards Eval: 1107.32, Total Timesteps: 25330530 episode:197 

Rewards Tr: 1296.65, Rewards Disc: 0.92, Rewards Eval: 2101.39, Total Timesteps: 25479350 episode:198 

Rewards Tr: 1677.34, Rewards Disc: 0.92, Rewards Eval: 1002.37, Total Timesteps: 25669040 episode:199 

Rewards Tr: 1387.84, Rewards Disc: 0.91, Rewards Eval: 2019.16, Total Timesteps: 25839620 episode:200 

Rewards Tr: 1155.93, Rewards Disc: 0.91, Rewards Eval: 1538.27, Total Timesteps: 25978140 episode:201 

Rewards Tr: 1434.46, Rewards Disc: 0.90, Rewards Eval: 1194.54, Total Timesteps: 26133760 episode:202 

Rewards Tr: 1214.55, Rewards Disc: 0.92, Rewards Eval: 958.98, Total Timesteps: 26275540 episode:203 

Rewards Tr: 1149.18, Rewards Disc: 0.94, Rewards Eval: 1396.29, Total Timesteps: 26415990 episode:204 

Rewards Tr: 1311.33, Rewards Disc: 0.91, Rewards Eval: 1142.94, Total Timesteps: 26558400 episode:205 

Rewards Tr: 1387.11, Rewards Disc: 0.90, Rewards Eval: 1633.70, Total Timesteps: 26724130 episode:206 

Rewards Tr: 1437.34, Rewards Disc: 0.91, Rewards Eval: 1270.24, Total Timesteps: 26901770 episode:207 

Rewards Tr: 1882.15, Rewards Disc: 0.89, Rewards Eval: 2151.76, Total Timesteps: 27094480 episode:208 

Rewards Tr: 1700.19, Rewards Disc: 0.90, Rewards Eval: 1771.94, Total Timesteps: 27264060 episode:209 

Rewards Tr: 1358.51, Rewards Disc: 0.90, Rewards Eval: 1397.05, Total Timesteps: 27402390 episode:210 

Rewards Tr: 1327.92, Rewards Disc: 0.91, Rewards Eval: 1969.25, Total Timesteps: 27552820 episode:211 

Rewards Tr: 1382.66, Rewards Disc: 0.91, Rewards Eval: 1523.12, Total Timesteps: 27704990 episode:212 

Rewards Tr: 1328.43, Rewards Disc: 0.91, Rewards Eval: 1044.74, Total Timesteps: 27860290 episode:213 

Rewards Tr: 1263.17, Rewards Disc: 0.91, Rewards Eval: 942.86, Total Timesteps: 28011240 episode:214 

Rewards Tr: 1292.68, Rewards Disc: 0.90, Rewards Eval: 1447.67, Total Timesteps: 28179050 episode:215 

Rewards Tr: 1250.05, Rewards Disc: 0.92, Rewards Eval: 754.13, Total Timesteps: 28314520 episode:216 

Rewards Tr: 1204.95, Rewards Disc: 0.91, Rewards Eval: 956.73, Total Timesteps: 28446030 episode:217 

Rewards Tr: 1764.56, Rewards Disc: 0.90, Rewards Eval: 1392.00, Total Timesteps: 28629870 episode:218 

Rewards Tr: 1895.13, Rewards Disc: 0.88, Rewards Eval: 1252.50, Total Timesteps: 28823590 episode:219 

Rewards Tr: 1921.79, Rewards Disc: 0.88, Rewards Eval: 1827.54, Total Timesteps: 29015950 episode:220 

Rewards Tr: 1239.05, Rewards Disc: 0.91, Rewards Eval: 993.07, Total Timesteps: 29135710 episode:221 

Rewards Tr: 1092.90, Rewards Disc: 0.91, Rewards Eval: 1259.91, Total Timesteps: 29239480 episode:222 

Rewards Tr: 1158.95, Rewards Disc: 0.91, Rewards Eval: 1595.45, Total Timesteps: 29355310 episode:223 

Rewards Tr: 1218.51, Rewards Disc: 0.92, Rewards Eval: 1103.20, Total Timesteps: 29475640 episode:224 

Rewards Tr: 1245.81, Rewards Disc: 0.92, Rewards Eval: 1043.15, Total Timesteps: 29612610 episode:225 

Rewards Tr: 1337.70, Rewards Disc: 0.91, Rewards Eval: 825.17, Total Timesteps: 29757730 episode:226 

Rewards Tr: 1372.26, Rewards Disc: 0.90, Rewards Eval: 1005.43, Total Timesteps: 29899720 episode:227 

