For Seed: 1 

Rewards Tr: 164.36, Rewards Eval: 126.76, Total Timesteps: 28128540 episode:160 

Rewards Tr: 164.82, Rewards Eval: 160.48, Total Timesteps: 28328540 episode:161 

Rewards Tr: 156.87, Rewards Eval: 150.07, Total Timesteps: 28528540 episode:162 

Rewards Tr: 161.25, Rewards Eval: 117.33, Total Timesteps: 28728540 episode:163 

Rewards Tr: 164.08, Rewards Eval: 125.56, Total Timesteps: 28928540 episode:164 

Rewards Tr: 161.84, Rewards Eval: 145.93, Total Timesteps: 29128540 episode:165 

Rewards Tr: 163.73, Rewards Eval: 135.63, Total Timesteps: 29328540 episode:166 

Rewards Tr: 166.96, Rewards Eval: 152.32, Total Timesteps: 29528540 episode:167 

Rewards Tr: 157.65, Rewards Eval: 172.28, Total Timesteps: 29728540 episode:168 

Rewards Tr: 154.78, Rewards Eval: 175.28, Total Timesteps: 29928540 episode:169 

Rewards Tr: 161.50, Rewards Eval: 135.96, Total Timesteps: 30128540 episode:170 

Rewards Tr: 161.04, Rewards Eval: 139.71, Total Timesteps: 30328540 episode:171 

Rewards Tr: 157.79, Rewards Eval: 148.69, Total Timesteps: 30528540 episode:172 

Rewards Tr: 162.31, Rewards Eval: 148.68, Total Timesteps: 30728540 episode:173 

Rewards Tr: 161.41, Rewards Eval: 149.67, Total Timesteps: 30928540 episode:174 

Rewards Tr: 156.67, Rewards Eval: 133.59, Total Timesteps: 31128540 episode:175 

Rewards Tr: 161.74, Rewards Eval: 155.79, Total Timesteps: 31328540 episode:176 

Rewards Tr: 156.54, Rewards Eval: 167.75, Total Timesteps: 31528540 episode:177 

Rewards Tr: 160.40, Rewards Eval: 127.81, Total Timesteps: 31728540 episode:178 

Rewards Tr: 164.06, Rewards Eval: 146.29, Total Timesteps: 31928540 episode:179 

Rewards Tr: 157.07, Rewards Eval: 111.62, Total Timesteps: 32128540 episode:180 

Rewards Tr: 153.24, Rewards Eval: 189.27, Total Timesteps: 32328540 episode:181 

Rewards Tr: 156.76, Rewards Eval: 135.17, Total Timesteps: 32528540 episode:182 

Rewards Tr: 161.84, Rewards Eval: 122.53, Total Timesteps: 32728540 episode:183 

Rewards Tr: 160.68, Rewards Eval: 172.00, Total Timesteps: 32928540 episode:184 

