For Seed: 101 

Rewards Tr: 150.88, Rewards Val: 157.84, Rewards Disc: 0.03, Rewards Eval: 142.48, Total Timesteps: 93341230 episode:177 

Rewards Tr: 152.53, Rewards Val: 154.00, Rewards Disc: 0.05, Rewards Eval: 162.01, Total Timesteps: 93941230 episode:178 

Rewards Tr: 155.42, Rewards Val: 152.81, Rewards Disc: 0.04, Rewards Eval: 133.56, Total Timesteps: 94541230 episode:179 

Rewards Tr: 156.60, Rewards Val: 154.71, Rewards Disc: 0.02, Rewards Eval: 167.30, Total Timesteps: 95141230 episode:180 

Rewards Tr: 149.40, Rewards Val: 147.94, Rewards Disc: 0.07, Rewards Eval: 157.89, Total Timesteps: 95741230 episode:181 

Rewards Tr: 150.41, Rewards Val: 149.55, Rewards Disc: 0.03, Rewards Eval: 164.14, Total Timesteps: 96341230 episode:182 

Rewards Tr: 153.84, Rewards Val: 154.39, Rewards Disc: 0.05, Rewards Eval: 147.46, Total Timesteps: 96941230 episode:183 

Rewards Tr: 151.98, Rewards Val: 154.24, Rewards Disc: -0.00, Rewards Eval: 148.35, Total Timesteps: 97541230 episode:184 

Rewards Tr: 148.60, Rewards Val: 152.98, Rewards Disc: 0.02, Rewards Eval: 137.04, Total Timesteps: 98141230 episode:185 

Rewards Tr: 149.47, Rewards Val: 150.05, Rewards Disc: 0.07, Rewards Eval: 146.42, Total Timesteps: 98741230 episode:186 

Rewards Tr: 149.47, Rewards Val: 152.73, Rewards Disc: 0.03, Rewards Eval: 160.71, Total Timesteps: 99341230 episode:187 

Rewards Tr: 152.09, Rewards Val: 158.12, Rewards Disc: -0.02, Rewards Eval: 155.20, Total Timesteps: 99941230 episode:188 

Rewards Tr: 154.56, Rewards Val: 154.70, Rewards Disc: 0.03, Rewards Eval: 156.94, Total Timesteps: 100541230 episode:189 

Rewards Tr: 152.39, Rewards Val: 153.60, Rewards Disc: 0.06, Rewards Eval: 153.63, Total Timesteps: 101141230 episode:190 

