For Seed: 1 

2022-02-12 21:15:05.670137: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-12 21:15:09.972670: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-PCIE-32GB, pci bus id: 0000:3b:00.0, compute capability: 7.0
Rewards Tr: 2239.92, Rewards Val: 2166.19, Rewards Disc: 0.86, Rewards Eval: 2004.38, Total Timesteps: 8566740 episode:129 

Rewards Tr: 2002.25, Rewards Val: 2210.87, Rewards Disc: 0.70, Rewards Eval: 2118.88, Total Timesteps: 8666740 episode:130 

Rewards Tr: 2086.26, Rewards Val: 2078.90, Rewards Disc: 0.71, Rewards Eval: 1423.26, Total Timesteps: 8766740 episode:131 

Rewards Tr: 2010.16, Rewards Val: 2115.73, Rewards Disc: 0.65, Rewards Eval: 2178.31, Total Timesteps: 8866740 episode:132 

Rewards Tr: 2085.27, Rewards Val: 2027.29, Rewards Disc: 0.73, Rewards Eval: 2253.72, Total Timesteps: 8966740 episode:133 

Rewards Tr: 2435.19, Rewards Val: 2313.33, Rewards Disc: 0.69, Rewards Eval: 2676.95, Total Timesteps: 9066740 episode:134 

Rewards Tr: 2331.76, Rewards Val: 2133.66, Rewards Disc: 0.73, Rewards Eval: 1991.57, Total Timesteps: 9166740 episode:135 

Rewards Tr: 2129.18, Rewards Val: 2222.41, Rewards Disc: 0.66, Rewards Eval: 2612.60, Total Timesteps: 9266740 episode:136 

Rewards Tr: 2023.01, Rewards Val: 1997.15, Rewards Disc: 0.70, Rewards Eval: 2444.62, Total Timesteps: 9366740 episode:137 

Rewards Tr: 1990.50, Rewards Val: 1952.56, Rewards Disc: 0.64, Rewards Eval: 2505.28, Total Timesteps: 9466740 episode:138 

Rewards Tr: 1776.21, Rewards Val: 1636.02, Rewards Disc: 0.61, Rewards Eval: 2451.33, Total Timesteps: 9566740 episode:139 

