For Seed: 1 

2022-02-08 19:10:32.917112: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-08 19:10:37.052408: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 78116 MB memory:  -> device: 0, name: NVIDIA A100-SXM-80GB, pci bus id: 0000:81:00.0, compute capability: 8.0
2022-02-08 19:10:38.295869: I tensorflow/stream_executor/cuda/cuda_blas.cc:1760] TensorFloat-32 will be used for the matrix multiplication. This will only be logged once.
Rewards Tr: 6.65, Rewards Eval: 0.00, Total Timesteps: 1040 episode:0 
Rewards Tr: 2868.82, Rewards Eval: 3198.22, Total Timesteps: 5660700 episode:219 

Rewards Tr: 3017.09, Rewards Eval: 2806.61, Total Timesteps: 5710700 episode:220 

Rewards Tr: 2993.74, Rewards Eval: 3277.76, Total Timesteps: 5760700 episode:221 

Rewards Tr: 2907.42, Rewards Eval: 3024.96, Total Timesteps: 5810700 episode:222 

Rewards Tr: 2782.29, Rewards Eval: 3459.25, Total Timesteps: 5860700 episode:223 

Rewards Tr: 2816.14, Rewards Eval: 2721.82, Total Timesteps: 5910700 episode:224 

Rewards Tr: 2973.89, Rewards Eval: 2840.73, Total Timesteps: 5960700 episode:225 

Rewards Tr: 2923.47, Rewards Eval: 3267.00, Total Timesteps: 6010700 episode:226 

Rewards Tr: 3000.32, Rewards Eval: 3343.44, Total Timesteps: 6060700 episode:227 

Rewards Tr: 2591.23, Rewards Eval: 2476.03, Total Timesteps: 6110700 episode:228 

Rewards Tr: 2917.89, Rewards Eval: 2492.68, Total Timesteps: 6160700 episode:229 

Rewards Tr: 2531.99, Rewards Eval: 2523.38, Total Timesteps: 6210700 episode:230 

